Label	Name	PFT	numPFT
AcerCampestre	Acer campestre	_Tree_Shrub	5
AcerNegundo	Acer negundo	_Tree_Shrub	5
AcerPlatanoides	Acer platanoides	_Tree_Shrub	5
AcerPseudoplatanus	Acer pseudoplatanus	_Tree_Shrub	5
AcerSp	Acer sp.	_Tree_Shrub	5
AchilleaMillefolium	Achillea millefolium	TallHerb	3
AgrimoniaEupatoria	Agrimonia eupatoria	TallHerb	3
AgrostisCapillaris	Agrostis capillaris	Grass	1
AlliumSp	Allium sp.	TallHerb	3
AlliumVineale	Allium vineale	SmallHerb	2
AlopecurusPratensis	Alopecurus pratensis	Grass	1
AnagallisArvensis	Anagallis arvensis	SmallHerb	2
AnthemisArvensis	Anthemis arvensis	SmallHerb	2
AnthoxanthumOdoratum	Anthoxanthum odoratum	Grass	1
AnthriscusSylvestris	Anthriscus sylvestris	TallHerb	3
ApiaceaeSp	Apiaceae sp.	TallHerb	3
ArabidopsisThaliana	Arabidopsis thaliana	SmallHerb	2
ArenariaSerpyllifolia	Arenaria serpyllifolia	SmallHerb	2
ArrhenatherumElatius	Arrhenatherum elatius	Grass	1
ArtemisiaVulgaris	Artemisia vulgaris	TallHerb	3
AsteraceaeSp	Asteraceae sp.	TallHerb	3
AvenaSativa	Avena sativa	Grass	1
BellisPerennis	Bellis perennis	SmallHerb	2
BetonicaOfficinalis	Betonica officinalis	SmallHerb	2
BetulaSp	Betula sp.	_Tree_Shrub	5
BoragoOfficinalis	Borago officinalis	TallHerb	3
BrachypodiumPinnatum	Brachypodium pinnatum	Grass	1
BrassicaNapus	Brassica napus	TallHerb	3
BrassicaOleracea	Brassica oleracea	TallHerb	3
BrassicaceaeSp	Brassicaceae sp.	TallHerb	3
BromusErectus	Bromus erectus	Grass	1
BromusHordeaceus	Bromus hordeaceus	Grass	1
BromusSterilis	Bromus sterilis	Grass	1
CalamagrostisEpigejos	Calamagrostis epigejos	Grass	1
CampanulaPatula	Campanula patula	TallHerb	3
CampanulaRapunculoides	Campanula rapunculoides	TallHerb	3
CampanulaRotundifolia	Campanula rotundifolia	SmallHerb	2
CapsellaBursapastoris	Capsella bursa-pastoris	SmallHerb	2
CarduusAcanthoides	Carduus acanthoides	TallHerb	3
CarduusCrispus	Carduus crispus	TallHerb	3
CarumCarvi	Carum carvi	TallHerb	3
CentaureaJacea	Centaurea jacea	TallHerb	3
CentaureaScabiosa	Centaurea scabiosa	TallHerb	3
CerastiumGlomeratum	Cerastium glomeratum	SmallHerb	2
CerastiumHolosteoides	Cerastium holosteoides	SmallHerb	2
ChenopodiumAlbum	Chenopodium album	TallHerb	3
ChrysanthemumVulgare	Chrysanthemum vulgare	TallHerb	3
CichoriumIntybus	Cichorium intybus	TallHerb	3
