Species	Family GBIF
	not found
Acer	Sapindaceae
Acer campestre	Sapindaceae
Acer negundo	Sapindaceae
Acer platanoides	Sapindaceae
Acer pseudoplatanus	Sapindaceae
Achillea millefolium	Asteraceae
Agrimonia eupatoria	Rosaceae
Agrostis capillaris	Poaceae
Allium	Amaryllidaceae
Allium vineale	Amaryllidaceae
Alopecurus pratensis	Poaceae
Anthemis arvensis	Asteraceae
Anthoxanthum odoratum	Poaceae
Anthriscus sylvestris	Apiaceae
Apiaceae	Apiaceae
Arabidopsis thaliana	Brassicaceae
Arenaria serpyllifolia	Caryophyllaceae
Arrhenatherum elatius	Poaceae
Artemisia vulgaris	Asteraceae
Asteraceae	Asteraceae
Avena sativa	Poaceae
Avenula pubescens	Poaceae
Bellis perennis	Asteraceae
Betonica officinalis	Lamiaceae
Betula	Betulaceae
Borago officinalis	Boraginaceae
Brachypodium pinnatum	Poaceae
Brassica napus	Brassicaceae
Brassica oleracea	Brassicaceae
Brassicaceae	Brassicaceae
Bromus erectus	Poaceae
Bromus hordeaceus	Poaceae
Bromus sterilis	Poaceae
Calamagrostis epigejos	Poaceae
Campanula patula	Campanulaceae
Campanula rapunculoides	Campanulaceae
Campanula rotundifolia	Campanulaceae
Capsella bursa-pastoris	Brassicaceae
Carduus acanthoides	Asteraceae
Carduus crispus	Asteraceae
Carum carvi	Apiaceae
Centaurea jacea	Asteraceae
Centaurea scabiosa	Asteraceae
Cerastium glomeratum	Caryophyllaceae
Cerastium holosteoides	Caryophyllaceae
Chenopodium album	Amaranthaceae
Cichorium intybus	Asteraceae
Cirsium arvense	Asteraceae
Cirsium vulgare	Asteraceae
Clematis vitalba	Ranunculaceae
Colchicum autumnale	Colchicaceae
Convolvulus arvensis	Convolvulaceae
Cornus sanguinea	Cornaceae
Coronilla varia	Fabaceae
Crataegus monogyna	Rosaceae
Crepis biennis	Asteraceae
Crepis capillaris	Asteraceae
Cynosurus cristatus	Poaceae
Dactylis glomerata	Poaceae
Daucus carota	Apiaceae
Descurainia sophia	Brassicaceae
Dianthus carthusianorum	Caryophyllaceae
Dianthus seguieri	Caryophyllaceae
Draba	Brassicaceae
Elymus repens	Poaceae
Epilobium tetragonum	Onagraceae
Equisetum arvense	Equisetaceae
Erigeron acris	Asteraceae
Erigeron annuus	Asteraceae
Erigeron canadensis	Asteraceae
Erodium cicutarium	Geraniaceae
Eryngium campestre	Apiaceae
Falcaria vulgaris	Apiaceae
Fallopia convolvulus	Polygonaceae
Festuca	Poaceae
Festuca ovina	Poaceae
Festuca rubra	Poaceae
Festuca rupicola	Poaceae
Festulolium	Poaceae
Filipendula ulmaria	Rosaceae
Filipendula vulgaris	Rosaceae
Fraxinus excelsior	Oleaceae
Fumaria officinalis	Papaveraceae
Galium album	Rubiaceae
Galium aparine	Rubiaceae
Galium mollugo	Rubiaceae
Galium pomeranicum	Rubiaceae
Galium verum	Rubiaceae
Geranium	Geraniaceae
Geranium molle	Geraniaceae
Geranium pratense	Geraniaceae
Geranium pusillum	Geraniaceae
Geranium pyrenaicum	Geraniaceae
Geranium rotundifolium	Geraniaceae
Geum urbanum	Rosaceae
Glechoma hederacea	Lamiaceae
Helictotrichon pratense	Poaceae
Heracleum sphondylium	Apiaceae
Holcus lanatus	Poaceae
Hypericum perforatum	Hypericaceae
Hypochaeris radicata	Asteraceae
Knautia arvensis	Caprifoliaceae
Koeleria macrantha	Poaceae
Lactuca serriola	Asteraceae
Lamium amplexicaule	Lamiaceae
Lamium purpureum	Lamiaceae
Lapsana communis	Asteraceae
Lathyrus pratensis	Fabaceae
Lathyrus tuberosus	Fabaceae
Leontodon autumnalis	Asteraceae
Leontodon hispidus	Asteraceae
Leucanthemum vulgare	Asteraceae
Linaria vulgaris	Plantaginaceae
Lolium multiflorum	Poaceae
Lolium perenne	Poaceae
Lotus corniculatus	Fabaceae
Lotus pedunculatus	Fabaceae
Lysimachia arvensis	Primulaceae
Lysimachia nummularia	Primulaceae
Malva sylvestris	Malvaceae
Medicago	Fabaceae
Medicago falcata	Fabaceae
Medicago lupulina	Fabaceae
Medicago varia	Fabaceae
Melampyrum pratense	Orobanchaceae
Myosotis arvensis	Boraginaceae
Noccaea perfoliata	Brassicaceae
Papaver rhoeas	Papaveraceae
Pastinaca sativa	Apiaceae
Petrorhagia prolifera	Caryophyllaceae
Phleum pratense	Poaceae
Picris hieracioides	Asteraceae
Pilosella officinarum	Asteraceae
Pimpinella saxifraga	Apiaceae
Plantago lanceolata	Plantaginaceae
Plantago major	Plantaginaceae
Plantago media	Plantaginaceae
Poa angustifolia	Poaceae
