Species GBIF	Species Original
Acer campestre	Acer campestre
Acer negundo	Acer negundo
Acer platanoides	Acer platanoides
Acer pseudoplatanus	Acer pseudoplatanus
Acer	Acer sp.
Achillea millefolium	Achillea millefolium
Agrimonia eupatoria	Agrimonia eupatoria
Agrostis capillaris	Agrostis capillaris
Allium	Allium sp.
Allium vineale	Allium vineale
Alopecurus pratensis	Alopecurus pratensis
Lysimachia arvensis	Anagallis arvensis
Anthemis arvensis	Anthemis arvensis
Anthoxanthum odoratum	Anthoxanthum odoratum
Anthriscus sylvestris	Anthriscus sylvestris
Apiaceae	Apiaceae sp.
Arabidopsis thaliana	Arabidopsis thaliana
Arenaria serpyllifolia	Arenaria serpyllifolia
Arrhenatherum elatius	Arrhenatherum elatius
Artemisia vulgaris	Artemisia vulgaris
Asteraceae	Asteraceae sp.
Avena sativa	Avena sativa
Bellis perennis	Bellis perennis
Betonica officinalis	Betonica officinalis
Betula	Betula sp.
Borago officinalis	Borago officinalis
Brachypodium pinnatum	Brachypodium pinnatum
Brassica napus	Brassica napus
Brassica oleracea	Brassica oleracea
Brassicaceae	Brassicaceae sp.
Bromus erectus	Bromus erectus
Bromus hordeaceus	Bromus hordeaceus
Bromus sterilis	Bromus sterilis
Calamagrostis epigejos	Calamagrostis epigejos
Campanula patula	Campanula patula
Campanula rapunculoides	Campanula rapunculoides
Campanula rotundifolia	Campanula rotundifolia
Capsella bursa-pastoris	Capsella bursa-pastoris
Carduus acanthoides	Carduus acanthoides
Carduus crispus	Carduus crispus
Carum carvi	Carum carvi
Centaurea jacea	Centaurea jacea
Centaurea scabiosa	Centaurea scabiosa
Cerastium glomeratum	Cerastium glomeratum
Cerastium holosteoides	Cerastium holosteoides
Chenopodium album	Chenopodium album
Asteraceae	Chrysanthemum vulgare
Cichorium intybus	Cichorium intybus
Cirsium arvense	Cirsium arvense
Cirsium vulgare	Cirsium vulgare
Clematis vitalba	Clematis vitalba
Colchicum autumnale	Colchicum autumnale
Convolvulus arvensis	Convolvulus arvensis
Erigeron canadensis	Conyza canadensis
Cornus sanguinea	Cornus sanguinea
Crataegus monogyna	Crataegus monogyna
Crepis biennis	Crepis biennis
Crepis capillaris	Crepis capillaris
Cynosurus cristatus	Cynosurus cristatus
Dactylis glomerata	Dactylis glomerata
Daucus carota	Daucus carota
Descurainia sophia	Descurainia sophia
Dianthus carthusianorum	Dianthus carthusianorum
Dianthus seguieri	Dianthus seguieri
Elymus repens	Elymus repens
Epilobium tetragonum	Epilobium tetragonum
Equisetum arvense	Equisetum arvense
Erigeron acris	Erigeron acris
Erigeron annuus	Erigeron annuus
Erodium cicutarium	Erodium cicutarium
Draba	Erophila verna
Eryngium campestre	Eryngium campestre
Falcaria vulgaris	Falcaria vulgaris
Fallopia convolvulus	Fallopia convolvulus
Poaceae	Festuca arundinacea
Festuca ovina	Festuca ovina
Poaceae	Festuca pratensis
Festuca rubra	Festuca rubra
Festuca rupicola	Festuca rupicola
Festuca	Festuca sp.
Festulolium	Festulolium
Filipendula ulmaria	Filipendula ulmaria
Filipendula vulgaris	Filipendula vulgaris
Fraxinus excelsior	Fraxinus excelsior
Fumaria officinalis	Fumaria officinalis
Galium album	Galium album
Galium aparine	Galium aparine
Galium mollugo	Galium mollugo
Galium pomeranicum	Galium x pomeranicum
Galium verum	Galium verum
Geranium molle	Geranium molle
Geranium pratense	Geranium pratense
Geranium pusillum	Geranium pusillum
Geranium pyrenaicum	Geranium pyrenaicum
Geranium rotundifolium	Geranium rotundifolium
Geranium	Geranium sp.
Geum urbanum	Geum urbanum
Glechoma hederacea	Glechoma hederacea
Helictotrichon pratense	Helictotrichon pratense
Avenula pubescens	Helictotrichon pubescens
Heracleum sphondylium	Heracleum sphondylium
Pilosella officinarum	Hieracium pilosella
Holcus lanatus	Holcus lanatus
Hypericum perforatum	Hypericum perforatum
Hypochaeris radicata	Hypochaeris radicata
Knautia arvensis	Knautia arvensis
Koeleria macrantha	Koeleria macrantha
Lactuca serriola	Lactuca serriola
Lamium amplexicaule	Lamium amplexicaule
Lamium purpureum	Lamium purpureum
Lapsana communis	Lapsana communis
Lathyrus pratensis	Lathyrus pratensis
Lathyrus tuberosus	Lathyrus tuberosus
Leontodon autumnalis	Leontodon autumnalis
