Species	Species Original	PFT TRY	Woodiness	Family GBIF
Acer campestre	Acer campestre	not assigned (tree)	woody	Sapindaceae
Acer negundo	Acer negundo	not assigned (tree)	woody	Sapindaceae
Acer platanoides	Acer platanoides	not assigned (tree)	woody	Sapindaceae
Acer pseudoplatanus	Acer pseudoplatanus	not assigned (tree)	woody	Sapindaceae
Acer	Acer sp.	not assigned (tree)	not assigned	Sapindaceae
Achillea millefolium	Achillea millefolium	forb	herbaceous	Asteraceae
Agrimonia eupatoria	Agrimonia eupatoria	forb	herbaceous	Rosaceae
Agrostis capillaris	Agrostis capillaris	grass	herbaceous	Poaceae
Allium	Allium sp.	forb	not assigned	Amaryllidaceae
Allium vineale	Allium vineale	forb	herbaceous	Amaryllidaceae
Alopecurus pratensis	Alopecurus pratensis	grass	herbaceous	Poaceae
Lysimachia arvensis	Anagallis arvensis	forb	herbaceous	Primulaceae
Anthemis arvensis	Anthemis arvensis	forb	herbaceous	Asteraceae
Anthoxanthum odoratum	Anthoxanthum odoratum	grass	herbaceous	Poaceae
Anthriscus sylvestris	Anthriscus sylvestris	forb	herbaceous	Apiaceae
Apiaceae	Apiaceae sp.	forb	not found	Apiaceae
Arabidopsis thaliana	Arabidopsis thaliana	forb	herbaceous	Brassicaceae
Arenaria serpyllifolia	Arenaria serpyllifolia	forb	herbaceous	Caryophyllaceae
Arrhenatherum elatius	Arrhenatherum elatius	grass	herbaceous	Poaceae
Artemisia vulgaris	Artemisia vulgaris	forb	herbaceous	Asteraceae
Asteraceae	Asteraceae sp.	forb	conflicting	Asteraceae
Avena sativa	Avena sativa	grass	herbaceous	Poaceae
Bellis perennis	Bellis perennis	forb	herbaceous	Asteraceae
Betonica officinalis	Betonica officinalis	forb	not found	Lamiaceae
Betula	Betula sp.	not found	not found	Betulaceae
Borago officinalis	Borago officinalis	forb	herbaceous	Boraginaceae
Brachypodium pinnatum	Brachypodium pinnatum	grass	herbaceous	Poaceae
