Species	PFT
Aloe aageodonta	not assigned ()
Papuechites aambe	not assigned ()
Musa abaca	not assigned ()
Salsola abarghuensis	not assigned ()
Gardenia abbeokutae	not assigned ()
Psoralea abbottii	not assigned (legume?)
Cassia abbreviata	not assigned (tree)
Crotalaria abbreviata	legume
Miconia abbreviata	not assigned ()
Eucalyptus abbreviata	not assigned (tree)
Diuris abbreviata	forb
Ecclinusa abbreviata	not assigned (tree)
Sesamum abbreviatum	not assigned ()
Piper abbreviatum	not assigned ()
Sonchus abbreviatus	not assigned ()
Helleborus abchasicus	forb
Homalium abdessammadii	not assigned (tree)
Eucalyptus abdita	not assigned (tree)
Zelkova abelicea	not assigned ()
Hibiscus abelmoschus	not assigned ()
Quercus abendanonii	not assigned ()
Bergenia abendglut	forb
Cyphostemma abercornense	forb
Oxalis abercornensis	forb
Corymbia abergiana	not assigned (tree)
Guatteria aberrans	not assigned ()
Sloanea aberrans	not assigned (tree)
Habenaria aberrans	forb
Satyrium aberrans	forb
Picea abies	not assigned (tree)
Chusquea abietifolia	grass
Erica abietina	not assigned ()
Rosa abietina	not assigned ()
Helichrysum abietinum	not assigned ()
Rubus abietinus	not assigned ()
Digitaria abludens	grass
Phyllanthus abnormis	forb
Aristida abnormis	grass
Calamagrostis abnormis	grass
Millettia aboensis	not assigned (legume?)
Elymus abolinii	grass
Astragalus aboriginum	not assigned (legume?)
Bulbostylis abortiva	grass
Heterachne abortiva	grass
Epilobium abortivum	not assigned ()
Limodorum abortivum	forb
Heterachne abortivum	grass
Ranunculus abortivus	forb
Dalbergia abrahamii	not assigned (legume?)
Leptolaena abrahamii	not assigned (shrub/tree)
Nesogordonia abrahamii	not assigned ()
Ecclinusa abreviata	not assigned (tree)
Adenanthera abrosperma	not assigned (tree)
Pelargonium abrotanifolium	not assigned ()
Euryops abrotanifolius	not assigned ()
Senecio abrotanifolius	forb
Berzelia abrotanoides	not assigned (shrub)
Perovskia abrotanoides	not assigned ()
Artemisia abrotanum	not assigned (shrub)
Ipomoea abrupta	forb
Chazaliella abrupta	not assigned (shrub)
Carex abscondita	grass
Crotalaria abscondita	not assigned (shrub)
Chamaecytisus absinthioides	not assigned (legume?)
Artemisia absinthium	not assigned (herb/shrub)
Ranunculus abstrusus	not assigned ()
Taraxacum absurdum	not assigned ()
Cassia absus	not assigned (legume?)
Chamaecrista absus	legume
