AccSpeciesName	Grassmind PFT	Genus	SpeciesEpithet	Family	PlantGrowthForm									
Abronia maritima	forb	Abronia	maritima	Nyctaginaceae	herb									
Abutilon theophrasti	forb	Abutilon	theophrasti	Malvaceae	herb									
Achillea millefolium	forb	Achillea	millefolium	Asteraceae	herb									
Achillea ptarmica	forb	Achillea	ptarmica	Asteraceae	herb									
Acorus calamus	forb	Acorus	calamus	Acoraceae	herb									
Alisma plantago-aquatica	forb	Alisma	plantago-aquatica	Alismataceae	herb									
Allium cepa	forb	Allium	cepa	Alliaceae	herb									
Allium porrum	forb	Allium	porrum	Alliaceae	herb									
Althaea officinalis	forb	Althaea	officinalis	Malvaceae	herb									
Amaranthus hybridus	forb	Amaranthus	hybridus	Amaranthaceae	herb									
Amaranthus retroflexus	forb	Amaranthus	retroflexus	Amaranthaceae	herb									
Anemone cylindrica	forb	Anemone	cylindrica	Ranunculaceae	herb									
Angelica sylvestris	forb	Angelica	sylvestris	Apiaceae	herb									
Anoda cristata	forb	Anoda	cristata	Malvaceae	herb									
Anredera cordifolia	forb	Anredera	cordifolia	Basellaceae	herb									
Anthemis cotula	forb	Anthemis	cotula	Asteraceae	herb									
Anthriscus sylvestris	forb	Anthriscus	sylvestris	Apiaceae	herb									
Aquilegia canadensis	forb	Aquilegia	canadensis	Ranunculaceae	herb									
Arabidopsis thaliana	forb	Arabidopsis	thaliana	Brassicaceae	herb									
Arenaria serpyllifolia	forb	Arenaria	serpyllifolia	Caryophyllaceae	herb									
Arnoseris minima	forb	Arnoseris	minima	Asteraceae	herb									
Artemisia princeps	forb	Artemisia	princeps	Asteraceae	herb									
Arundina graminifolia	forb	Arundina	graminifolia	Orchidaceae	herb									
Asclepias incarnata	forb	Asclepias	incarnata	Asclepiadaceae	herb									
Asclepias tuberosa	forb	Asclepias	tuberosa	Asclepiadaceae	herb									
Aster novae-angliae	forb	Aster	novae-angliae	Asteraceae	herb									
Atriplex californica	forb	Atriplex	californica	Chenopodiaceae	herb									
Bellis perennis	forb	Bellis	perennis	Asteraceae	herb									
Beta vulgaris	forb	Beta	vulgaris	Chenopodiaceae	herb									
Bidens frondosa	forb	Bidens	frondosa	Asteraceae	herb									
Bidens pilosa	forb	Bidens	pilosa	Asteraceae	herb									
Bracteantha bracteata	forb	Bracteantha	bracteata	Asteraceae	herb									
Brassica napus	forb	Brassica	napus	Brassicaceae	herb									
Brassica oleracea	forb	Brassica	oleracea	Brassicaceae	herb									
Brassica pekinensis	forb	Brassica	pekinensis	Brassicaceae	herb									
Brassica rapa	forb	Brassica	rapa	Brassicaceae	herb									
Bryonia cretica	forb	Bryonia	cretica	Cucurbitaceae	herb									
Calystegia sepium	forb	Calystegia	sepium	Convolvulaceae	herb									
Calystegia soldanella	forb	Calystegia	soldanella	Convolvulaceae	herb									
Campanula rotundifolia	forb	Campanula	rotundifolia	Campanulaceae	herb									
Cannabis sativa	forb	Cannabis	sativa	Cannabaceae	herb									
Capsella bursa-pastoris	forb	Capsella	bursa-pastoris	Brassicaceae	herb									
Cardamine pratensis	forb	Cardamine	pratensis	Brassicaceae	herb									
Cardaria draba	forb	Cardaria	draba	Brassicaceae	herb									
Carduus pycnocephalus	forb	Carduus	pycnocephalus	Asteraceae	herb									
Centaurea jacea	forb	Centaurea	jacea	Asteraceae	herb									
Centaurea maculosa	forb	Centaurea	maculosa	Asteraceae	herb									
Centaurea scabiosa	forb	Centaurea	scabiosa	Asteraceae	herb									
Centaurea stoebe	forb	Centaurea	stoebe	Asteraceae	herb									
Centaurea triumfetti	forb	Centaurea	triumfetti	Asteraceae	herb									
Cerastium fontanum	forb	Cerastium	fontanum	Caryophyllaceae	herb									
Chamaemelum mixtum	forb	Chamaemelum	mixtum	Asteraceae	herb									
Chamerion angustifolium	forb	Chamerion	angustifolium	Onagraceae	herb									
Chenopodium album	forb	Chenopodium	album	Chenopodiaceae	herb									
Chondrilla juncea	forb	Chondrilla	juncea	Asteraceae	herb									
Chrysanthemum leucanthemum	forb	Chrysanthemum	leucanthemum	Asteraceae	herb									
Chrysocephalum apiculatum	forb	Chrysocephalum	apiculatum	Asteraceae	herb									
Cichorium intybus	forb	Cichorium	intybus	Asteraceae	herb									
Cirsium arvense	forb	Cirsium	arvense	Asteraceae	herb									
Cirsium dissectum	forb	Cirsium	dissectum	Asteraceae	herb									
Cirsium palustre	forb	Cirsium	palustre	Asteraceae	herb									
Cirsium vulgare	forb	Cirsium	vulgare	Asteraceae	herb									
Clematis vitalba	forb	Clematis	vitalba	Ranunculaceae	herb									
Convolvulus erubescens	forb	Convolvulus	erubescens	Convolvulaceae	herb									
Conyza canadensis	forb	Conyza	canadensis	Asteraceae	herb									
Coreopsis palmata	forb	Coreopsis	palmata	Asteraceae	herb									
Crepis capillaris	forb	Crepis	capillaris	Asteraceae	herb									
Crepis foetida	forb	Crepis	foetida	Asteraceae	herb									
Crepis occidentalis	forb	Crepis	occidentalis	Asteraceae	herb									
Crepis praemorsa	forb	Crepis	praemorsa	Asteraceae	herb									
Cucumis sativus	forb	Cucumis	sativus	Cucurbitaceae	herb									
Datura stramonium	forb	Datura	stramonium	Solanaceae	herb									
Daucus carota	forb	Daucus	carota	Apiaceae	herb									
Dianthus seguieri	forb	Dianthus	seguieri	Caryophyllaceae	herb									
Dianthus sylvestris	forb	Dianthus	sylvestris	Caryophyllaceae	herb									
Digitalis purpurea	forb	Digitalis	purpurea	Scrophulariaceae	herb									
Dipsacus fullonum	forb	Dipsacus	fullonum	Dipsacaceae	herb									
Echinacea angustifolia	forb	Echinacea	angustifolia	Asteraceae	herb									
Echinacea pallida	forb	Echinacea	pallida	Asteraceae	herb									
Echium plantagineum	forb	Echium	plantagineum	Boraginaceae	herb									
Epilobium adenocaulon	forb	Epilobium	adenocaulon	Onagraceae	herb									
Epilobium glandulosum	forb	Epilobium	glandulosum	Onagraceae	herb									
