Species	PFT
Abacopteris multilineata	not assigned (fern)
Abarema adenophora	not assigned (tree)
Abarema barbouriana	not assigned (tree)
Abarema brachystachya	not assigned (shrub/tree)
Abarema cochliacarpos	not assigned (tree)
Abarema curvicarpa	not assigned (tree)
Abarema jupunba	not assigned (tree)
Abarema laeta	not assigned (tree)
Abarema lusoria	not assigned (legume?)
Abarema macradenia	not assigned (tree)
Abarema mataybifolia	not assigned (tree)
Abarema piresii	not assigned (tree)
Abarema racemiflora	not assigned (tree)
Abatia parviflora	not assigned (shrub/tree)
Abelia biflora	not assigned (shrub)
Abelia chinensis	not assigned (shrub)
Abelia dielsii	not assigned (shrub)
Abelia graebneriana	not assigned (shrub)
Abelia grandiflora	not assigned (shrub)
Abelia integrifolia	not assigned (shrub)
Abelia mosanensis	not assigned (shrub)
Abelia serrata	not assigned (shrub)
Abelia spathulata	not assigned (shrub)
Abelia triflora	not assigned (shrub/tree)
Abeliophyllum distichum	not assigned (shrub)
Abelmoschus crinitus	forb
Abelmoschus esculentus	forb
Abelmoschus ficulneus	not assigned (shrub)
Abelmoschus manihot	forb
Abelmoschus moschatus	forb
Abies alba	not assigned (tree)
Abies amabilis	not assigned (tree)
Abies arizonica	not assigned (tree)
Abies balsamea	not assigned (tree)
Abies borisii-regis	not assigned (tree)
Abies bornmuelleriana	not assigned (tree)
Abies bracteata	not assigned (tree)
Abies cephalonica	not assigned (tree)
Abies chensiensis	not assigned (tree)
Abies cilicica	not assigned (tree)
Abies concolor	not assigned (tree)
Abies delavayi	not assigned (tree)
Abies densa	not assigned (tree)
Abies ernestii	not assigned (tree)
Abies fabri	not assigned (tree)
Abies fargesii	not assigned (tree)
Abies faxoniana	not assigned (tree)
Abies firma	not assigned (tree)
Abies forrestii	not assigned (tree)
Abies fraseri	not assigned (tree)
Abies georgei	not assigned (tree)
Abies grandis	not assigned (tree)
Abies guatemalensis	not assigned (tree)
Abies holophylla	not assigned (tree)
Abies homolepis	not assigned (tree)
Abies kawakamii	not assigned (tree)
Abies koreana	not assigned (tree)
Abies lasiocarpa	not assigned (tree)
Abies magnifica	not assigned (tree)
Abies mariesii	not assigned (tree)
Abies marocana	not assigned (tree)
Abies nebrodensis	not assigned (tree)
Abies nephrolepis	not assigned (tree)
Abies nordmanniana	not assigned (tree)
Abies numidica	not assigned (tree)
Abies pardei	not assigned (tree)
Abies pindrow	not assigned (tree)
Abies pinsapo	not assigned (tree)
Abies procera	not assigned (tree)
Abies recurvata	not assigned (tree)
Abies religiosa	not assigned (tree)
Abies sachalinensis	not assigned (tree)
Abies shastensis	not assigned (tree)
Abies sibirica	not assigned (tree)
Abies spectabilis	not assigned (tree)
Abies squamata	not assigned (tree)
Abies veitchii	not assigned (tree)
Abies vejarii	not assigned (tree)
Abiu caramuri	not assigned (tree)
Abroma augusta	not assigned (shrub)
Abronia ameliae	forb
Abronia fragrans	forb
Abronia latifolia	forb
Abronia maritima	forb
Abronia pogonantha	forb
Abronia turbinata	forb
Abronia umbellata	forb
Abronia villosa	forb
Abrophyllum ornans	not assigned (shrub/tree)
Abrus canescens	not assigned (shrub)
Abrus laevigatus	not assigned (legume?)
Abrus precatorius	not assigned (shrub)
Abrus pulchellus	not assigned (shrub)
Abrus schimperi	not assigned (shrub)
Abuta grandifolia	not assigned (tree)
Abuta grisebachii	not assigned ()
Abuta imene	not assigned ()
Abuta pahni	not assigned ()
Abuta panamensis	not assigned (tree)
Abuta racemosa	not assigned ()
Abuta rufescens	forb
Abuta solimoesensis	not assigned ()
Abuta velutina	not assigned (shrub/tree)
Abutilon abutiloides	not assigned (herb/shrub)
Abutilon angulatum	not assigned (herb/shrub)
Abutilon auritum	not assigned (shrub)
Abutilon austroafricanum	not assigned (herb/shrub)
Abutilon austro-africanum	not assigned (herb/shrub)
Abutilon bidentatum	not assigned (shrub)
Abutilon canariense	not assigned ()
Abutilon chittendenii	not assigned (shrub)
Abutilon cryptopetalum	not assigned (herb/shrub)
Abutilon dugesii	not assigned (shrub)
Abutilon ellipticum	not assigned (tree)
Abutilon englerianum	not assigned (shrub)
Abutilon eremitopetalum	not assigned (shrub)
Abutilon fraseri	not assigned (shrub)
Abutilon fruticosum	not assigned (herb/shrub)
Abutilon glabriflorum	not assigned (shrub)
Abutilon grandiflorum	not assigned (herb/shrub)
Abutilon grantii	not assigned (herb/shrub)
Abutilon greveanum	not assigned (shrub)
Abutilon guineense	not assigned (shrub)
Abutilon hirtum	not assigned (herb/shrub)
Abutilon incanum	not assigned (herb/shrub)
Abutilon indicum	not assigned (shrub)
Abutilon lauraster	not assigned (herb/shrub)
Abutilon lepidum	not assigned (shrub)
Abutilon leucopetalum	not assigned (shrub)
Abutilon longicuspe	not assigned (shrub)
Abutilon matopense	not assigned (herb/shrub)
Abutilon mauritianum	not assigned (herb/shrub)
Abutilon menziesii	not assigned (shrub)
Abutilon mitchelli	not assigned (shrub)
Abutilon molle	not assigned (herb/shrub)
Abutilon mollissimum	not assigned (shrub)
Abutilon muticum	not assigned (shrub)
Abutilon otocarpum	not assigned (shrub)
Abutilon oxycarpum	not assigned (shrub)
Abutilon pannosum	not assigned (herb/shrub)
Abutilon parvulum	forb
Abutilon pseudocleistogamum	not assigned (shrub)
Abutilon pycnodon	not assigned (herb/shrub)
Abutilon ramosum	not assigned (herb/shrub)
Abutilon reflexum	not assigned (shrub)
Abutilon rehmannii	not assigned (shrub)
Abutilon sandwicense	not assigned (shrub)
Abutilon silvaticum	not assigned (shrub)
Abutilon sonneratianum	not assigned (shrub)
Abutilon sylvaticum	not assigned (shrub)
Abutilon theophrasti	forb
Abutilon theophrastii	forb
Abutilon trisulcatum	not assigned (shrub)
Abutilon umbellatum	not assigned (herb/shrub)
Acacia abyssinica	not assigned (tree)
Acacia acanthoclada	not assigned (shrub)
Acacia acanthophylla	not assigned (legume?)
Acacia acatlensis	not assigned (shrub/tree)
Acacia accola	not assigned (shrub/tree)
Acacia acinacea	not assigned (shrub)
Acacia acradenia	not assigned (shrub/tree)
Acacia acrionastes	not assigned (tree)
Acacia acuifera	not assigned (tree)
Acacia aculeatissima	not assigned (shrub)
Acacia acuminata	not assigned (shrub/tree)
Acacia adansonii	not assigned (tree)
Acacia adenocalyx	not assigned (shrub/tree)
Acacia adhaerens	not assigned (legume?)
Acacia adoxa	not assigned (shrub)
Acacia adsurgens	not assigned (shrub)
Acacia adunca	not assigned (shrub/tree)
Acacia aestivalis	not assigned (shrub/tree)
Acacia alata	not assigned (shrub)
Acacia albicorticata	not assigned (tree)
Acacia albida	not assigned (tree)
Acacia alcockii	not assigned (shrub)
Acacia alemquerensis	not assigned (legume?)
Acacia alleniana	not assigned (tree)
Acacia allenii	not assigned (tree)
Acacia altiscandens	not assigned (tree)
Acacia amabilis	not assigned (tree)
Acacia amblygona	not assigned (shrub)
Acacia ammobia	not assigned (tree)
Acacia amoena	not assigned (tree)
Acacia ampliceps	not assigned (tree)
Acacia amythethophylla	not assigned (tree)
Acacia anceps	not assigned (shrub)
Acacia ancistrocarpa	not assigned (tree)
Acacia anegadensis	not assigned (tree)
Acacia aneura	not assigned (shrub/tree)
Acacia anfractuosa	not assigned (tree)
Acacia angustissima	not assigned (tree)
Acacia anthochaera	not assigned (shrub/tree)
Acacia aphylla	not assigned (shrub)
Acacia aprica	not assigned (shrub)
Acacia arabica	not assigned (tree)
Acacia arenaria	not assigned (shrub)
Acacia arenosa	not assigned (shrub/tree)
Acacia argyrophylla	not assigned (tree)
Acacia armata	not assigned (tree)
Acacia aroma	not assigned (tree)
