Species	Family	Original names
Abacopteris nudata	Thelypteridaceae	['Abacopteris multilineata']
Abarema cochliacarpos	Fabaceae	[]
Abarema species	not assigned	['Abarema lusoria']
Abatia parviflora	Flacourtiaceae	[]
Abelia chinensis	Caprifoliaceae	['Abelia grandiflora']
Abelia macrotera	Caprifoliaceae	['Abelia graebneriana']
Abelia triflora	Caprifoliaceae	[]
Abeliophyllum distichum	Oleaceae	[]
Abelmoschus crinitus	Malvaceae	[]
Abelmoschus esculentus	Malvaceae	['Hibiscus esculentus']
Abelmoschus ficulneus	Malvaceae	[]
Abelmoschus manihot	Malvaceae	['Hibiscus manihot']
Abelmoschus moschatus	Malvaceae	['Hibiscus abelmoschus']
Abies alba	Pinaceae	['Abies pardei']
Abies amabilis	Pinaceae	[]
Abies balsamea	Pinaceae	[]
Abies borisii-regis	Pinaceae	[]
Abies bracteata	Pinaceae	[]
Abies cephalonica	Pinaceae	[]
Abies chensiensis	Pinaceae	[]
Abies cilicica	Pinaceae	[]
Abies concolor	Pinaceae	[]
Abies delavayi	Pinaceae	[]
Abies densa	Pinaceae	[]
Abies fabri	Pinaceae	[]
Abies fargesii	Pinaceae	['Abies faxoniana']
Abies firma	Pinaceae	[]
Abies forrestii	Pinaceae	['Abies georgei']
Abies fraseri	Pinaceae	[]
Abies grandis	Pinaceae	[]
Abies guatemalensis	Pinaceae	[]
Abies holophylla	Pinaceae	[]
Abies homolepis	Pinaceae	[]
Abies kawakamii	Pinaceae	[]
Abies koreana	Pinaceae	[]
Abies lasiocarpa	Pinaceae	['Abies arizonica']
Abies magnifica	Pinaceae	['Abies shastensis']
Abies mariesii	Pinaceae	[]
Abies nebrodensis	Pinaceae	[]
Abies nephrolepis	Pinaceae	[]
Abies nordmanniana	Pinaceae	['Abies bornmuelleriana']
Abies numidica	Pinaceae	[]
Abies pindrow	Pinaceae	[]
Abies pinsapo	Pinaceae	['Abies marocana']
Abies procera	Pinaceae	[]
Abies recurvata	Pinaceae	['Abies ernestii']
Abies religiosa	Pinaceae	[]
Abies sachalinensis	Pinaceae	[]
Abies sibirica	Pinaceae	[]
Abies spectabilis	Pinaceae	[]
Abies squamata	Pinaceae	[]
Abies veitchii	Pinaceae	[]
Abies vejarii	Pinaceae	[]
Abildgaardia macrantha	Cyperaceae	['Fimbristylis macrantha']
Abildgaardia ovata	Cyperaceae	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	Cyperaceae	['Fimbristylis oxystachya']
Abildgaardia schoenoides	Cyperaceae	['Fimbristylis squarrulosa']
Abildgaardia triflora	Cyperaceae	['Fimbristylis triflora']
Abiu caramuri	not assigned	[]
Abrahamia ditimena	Anacardiaceae	['Protorhus ditimena']
Abrahamia sericea	Anacardiaceae	['Protorhus sericea']
Abrahamia viguieri	Anacardiaceae	['Protorhus viguieri']
Abrodictyum caudatum	Hymenophyllaceae	['Macroglena caudata']
Abrodictyum elongatum	Hymenophyllaceae	['Selenodesmium elongatum']
Abroma augustum	Sterculiaceae	['Abroma augusta']
Abronia ameliae	Nyctaginaceae	[]
Abronia fragrans	Nyctaginaceae	[]
Abronia latifolia	Nyctaginaceae	[]
Abronia maritima	Nyctaginaceae	[]
Abronia pogonantha	Nyctaginaceae	[]
Abronia turbinata	Nyctaginaceae	[]
Abronia umbellata	Nyctaginaceae	[]
Abronia villosa	Nyctaginaceae	[]
Abrophyllum ornans	Escalloniaceae	[]
Abrus canescens	Fabaceae	[]
Abrus laevigatus	Fabaceae	[]
Abrus precatorius	Fabaceae	[]
Abrus pulchellus	Fabaceae	[]
Abrus schimperi	Fabaceae	[]
Abuta grandifolia	Menispermaceae	[]
Abuta grisebachii	Menispermaceae	[]
Abuta imene	Menispermaceae	[]
Abuta pahni	Menispermaceae	[]
Abuta panamensis	Menispermaceae	[]
Abuta racemosa	Menispermaceae	[]
Abuta rufescens	Menispermaceae	[]
Abuta solimoesensis	Menispermaceae	[]
Abuta velutina	Menispermaceae	[]
Abutilon abutiloides	Malvaceae	[]
Abutilon angulatum	Malvaceae	[]
Abutilon auritum	Malvaceae	[]
Abutilon austroafricanum	Malvaceae	['Abutilon austro-africanum']
Abutilon bidentatum	Malvaceae	[]
Abutilon bivalve	Malvaceae	['Bastardia bivalvis']
Abutilon cryptopetalum	Malvaceae	[]
Abutilon dugesii	Malvaceae	[]
Abutilon englerianum	Malvaceae	[]
Abutilon eremitopetalum	Malvaceae	[]
Abutilon fraseri	Malvaceae	[]
Abutilon fruticosum	Malvaceae	[]
Abutilon glabriflorum	Malvaceae	[]
Abutilon grandiflorum	Malvaceae	[]
Abutilon grantii	Malvaceae	[]
Abutilon greveanum	Malvaceae	[]
Abutilon guineense	Malvaceae	[]
Abutilon hirtum	Malvaceae	[]
Abutilon incanum	Malvaceae	[]
Abutilon indicum	Malvaceae	[]
Abutilon lauraster	Malvaceae	[]
Abutilon lepidum	Malvaceae	[]
Abutilon leucopetalum	Malvaceae	[]
Abutilon longicuspe	Malvaceae	[]
Abutilon mauritianum	Malvaceae	['Pavonia patens']
Abutilon menziesii	Malvaceae	[]
Abutilon mitchellii	Malvaceae	['Abutilon mitchelli']
Abutilon mollissimum	Malvaceae	[]
Abutilon otocarpum	Malvaceae	[]
Abutilon oxycarpum	Malvaceae	[]
Abutilon pannosum	Malvaceae	['Abutilon muticum']
Abutilon parvulum	Malvaceae	[]
Abutilon pseudocleistogamum	Malvaceae	[]
Abutilon pycnodon	Malvaceae	['Abutilon matopense']
Abutilon ramosum	Malvaceae	[]
Abutilon reflexum	Malvaceae	[]
Abutilon rehmannii	Malvaceae	[]
Abutilon sandwicense	Malvaceae	[]
Abutilon sonneratianum	Malvaceae	[]
Abutilon species	not assigned	['Abutilon canariense', 'Abutilon molle']
Abutilon theophrasti	Malvaceae	['Abutilon theophrastii']
Abutilon trisulcatum	Malvaceae	[]
Abutilon viscosum	Malvaceae	['Bastardia viscosa']
Acacia acanthoclada	Fabaceae	[]
Acacia acinacea	Fabaceae	[]
Acacia acradenia	Fabaceae	[]
Acacia acrionastes	Fabaceae	[]
Acacia aculeatissima	Fabaceae	[]
Acacia acuminata	Fabaceae	[]
Acacia adoxa	Fabaceae	[]
Acacia adsurgens	Fabaceae	[]
Acacia adunca	Fabaceae	['Acacia accola']
Acacia aestivalis	Fabaceae	[]
Acacia alata	Fabaceae	[]
Acacia alcockii	Fabaceae	[]
Acacia alleniana	Fabaceae	[]
Acacia amblygona	Fabaceae	[]
Acacia ammobia	Fabaceae	[]
Acacia amoena	Fabaceae	[]
Acacia ampliceps	Fabaceae	[]
Acacia anceps	Fabaceae	[]
Acacia ancistrocarpa	Fabaceae	[]
Acacia aneura	Fabaceae	[]
Acacia anfractuosa	Fabaceae	[]
Acacia anthochaera	Fabaceae	[]
Acacia aphylla	Fabaceae	[]
Acacia aprica	Fabaceae	[]
Acacia argyrophylla	Fabaceae	[]
Acacia ascendens	Fabaceae	[]
Acacia asepala	Fabaceae	[]
Acacia aspera	Fabaceae	[]
Acacia assimilis	Fabaceae	[]
Acacia atkinsiana	Fabaceae	[]
Acacia aulacocarpa	Fabaceae	[]
Acacia aureocrinita	Fabaceae	[]
Acacia auriculiformis	Fabaceae	['Acacia auriculaeformis']
Acacia ausfeldii	Fabaceae	[]
Acacia baeuerlenii	Fabaceae	[]
Acacia baileyana	Fabaceae	[]
Acacia bakeri	Fabaceae	[]
Acacia bancroftiorum	Fabaceae	['Acacia bancroftii']
Acacia barringtonensis	Fabaceae	[]
Acacia baueri	Fabaceae	[]
Acacia beadleana	Fabaceae	[]
Acacia beauverdiana	Fabaceae	[]
Acacia beckleri	Fabaceae	[]
Acacia betchei	Fabaceae	[]
Acacia bifaria	Fabaceae	[]
Acacia binervata	Fabaceae	[]
Acacia binervia	Fabaceae	[]
Acacia bivenosa	Fabaceae	[]
Acacia blakei	Fabaceae	[]
Acacia blakelyi	Fabaceae	[]
Acacia blayana	Fabaceae	[]
Acacia boormanii	Fabaceae	[]
Acacia botrydion	Fabaceae	[]
Acacia brachybotrya	Fabaceae	[]
Acacia brachystachya	Fabaceae	[]
Acacia brassii	Fabaceae	[]
Acacia browniana	Fabaceae	[]
Acacia brownii	Fabaceae	[]
Acacia brumalis	Fabaceae	[]
Acacia brunioides	Fabaceae	[]
Acacia bulgaensis	Fabaceae	[]
Acacia burbidgeae	Fabaceae	[]
Acacia burkittii	Fabaceae	[]
Acacia burrowii	Fabaceae	[]
Acacia buxifolia	Fabaceae	[]
Acacia caerulescens	Fabaceae	[]
Acacia caesariata	Fabaceae	[]
Acacia caesiella	Fabaceae	[]
Acacia calamifolia	Fabaceae	[]
Acacia calcicola	Fabaceae	[]
Acacia calyculata	Fabaceae	['Acacia australis']
Acacia cambagei	Fabaceae	[]
Acacia campylophylla	Fabaceae	[]
Acacia cana	Fabaceae	[]
Acacia cangaiensis	Fabaceae	[]
Acacia cardiophylla	Fabaceae	[]
Acacia carens	Fabaceae	[]
Acacia caroleae	Fabaceae	[]
Acacia catenulata	Fabaceae	[]
Acacia cedroides	Fabaceae	[]
Acacia celastrifolia	Fabaceae	[]
Acacia celsa	Fabaceae	[]
Acacia cerastes	Fabaceae	[]
Acacia chalkeri	Fabaceae	[]
Acacia chapmanii	Fabaceae	[]
Acacia cheelii	Fabaceae	[]
Acacia chisholmii	Fabaceae	[]
Acacia chrysotricha	Fabaceae	[]
Acacia cincinnata	Fabaceae	[]
Acacia citrinoviridis	Fabaceae	[]
Acacia clandullensis	Fabaceae	[]
Acacia clydonophora	Fabaceae	[]
Acacia cognata	Fabaceae	[]
Acacia colei	Fabaceae	[]
Acacia colletioides	Fabaceae	[]
Acacia complanata	Fabaceae	[]
Acacia concurrens	Fabaceae	[]
Acacia conferta	Fabaceae	['Acacia tindaleae']
Acacia confusa	Fabaceae	[]
Acacia congesta	Fabaceae	[]
Acacia constablei	Fabaceae	[]
Acacia continua	Fabaceae	[]
Acacia coolgardiensis	Fabaceae	[]
Acacia coriacea	Fabaceae	[]
Acacia cornigera	Fabaceae	[]
Acacia costiniana	Fabaceae	[]
Acacia coulteri	Fabaceae	[]
Acacia courtii	Fabaceae	[]
Acacia cowleana	Fabaceae	[]
Acacia craspedocarpa	Fabaceae	[]
Acacia crassa	Fabaceae	[]
Acacia crassicarpa	Fabaceae	[]
Acacia crassiuscula	Fabaceae	[]
Acacia cremiflora	Fabaceae	[]
Acacia crenulata	Fabaceae	[]
Acacia cretacea	Fabaceae	[]
Acacia cultriformis	Fabaceae	[]
Acacia cuneifolia	Fabaceae	[]
Acacia cupularis	Fabaceae	[]
Acacia curranii	Fabaceae	[]
Acacia cuthbertsonii	Fabaceae	[]
Acacia cyclops	Fabaceae	[]
Acacia cyperophylla	Fabaceae	[]
Acacia dallachiana	Fabaceae	[]
Acacia dawsonii	Fabaceae	[]
Acacia dealbata	Fabaceae	[]
Acacia deanei	Fabaceae	[]
Acacia decora	Fabaceae	[]
Acacia decurrens	Fabaceae	[]
Acacia deficiens	Fabaceae	[]
Acacia desmondii	Fabaceae	[]
Acacia dictyoneura	Fabaceae	[]
