Species	PFT
Erigeron gaudinii	forb
Erigeron glabellus	not assigned ()
Erigeron glabratus	forb
Erigeron glaucus	forb
Erigeron heterochaeta	forb
Erigeron kamtschaticus	forb
Erigeron karvinskianus	forb
Erigeron lassenianus	forb
Erigeron linearis	forb
Erigeron luxurians	not assigned ()
Erigeron morrisonensis	not assigned ()
Erigeron myosotis	not assigned ()
Erigeron nanus	not assigned ()
Erigeron neglectus	forb
Erigeron orientalis	forb
Erigeron pappocromus	forb
Erigeron peregrinus	forb
Erigeron petrophilus	forb
Erigeron philadelphicus	forb
Erigeron polymorphus	not assigned ()
Erigeron poncinsii	forb
Erigeron pulchellus	forb
Erigeron pumilus	not assigned ()
Erigeron pygmaeus	forb
Erigeron ramosus	forb
Erigeron speciosus	forb
Erigeron strigosus	forb
Erigeron subtrinervis	not assigned ()
Erigeron sumatrensis	forb
Erigeron tweedyi	not assigned ()
Erigeron uniflorus	forb
Erigeron vagus	forb
Erinacea anthyllis	not assigned (legume?)
Erinocarpus nimmonii	not assigned ()
Erinus alpinus	forb
Eriobotrya bengalensis	not assigned (tree)
Eriobotrya cavaleriei	not assigned ()
Eriobotrya deflexa	not assigned (tree)
Eriobotrya fragrans	not assigned ()
Eriobotrya japonica	not assigned (tree)
Eriobotrya petiolata	not assigned (tree)
Eriocaulon afzelianum	forb
Eriocaulon aquaticum	forb
Eriocaulon australe	forb
Eriocaulon compressum	forb
Eriocaulon decangulare	forb
Eriocaulon koernickianum	forb
Eriocaulon merrillii	forb
Eriocaulon nigericum	forb
Eriocaulon scariosum	forb
Eriocaulon schimperi	forb
Eriocaulon septangulare	forb
Eriocaulon setaceum	forb
Eriocaulon sonderianum	forb
Eriocaulon truncatum	forb
Eriocaulon wallichianum	forb
Eriocephalus africanus	not assigned (shrub)
Eriocephalus ericoides	not assigned ()
Eriocephalus kingesii	not assigned ()
Eriocephalus luederitzianus	not assigned ()
Eriocephalus merxmuelleri	not assigned ()
Eriocephalus pinnatus	not assigned ()
Eriocephalus racemosus	not assigned ()
Eriocephalus scariosus	not assigned ()
Eriochilus cucullatus	forb
Eriochiton sclerolaenoides	not assigned ()
Eriochloa acuminata	grass
Eriochloa aristata	grass
Eriochloa australiensis	grass
Eriochloa boliviensis	grass
Eriochloa borumensis	grass
Eriochloa boxiana	grass
Eriochloa contracta	grass
Eriochloa crebra	grass
Eriochloa distachya	grass
Eriochloa fatmensis	grass
Eriochloa gracilis	grass
Eriochloa grandiflora	grass
Eriochloa lemmonii	grass
Eriochloa longiflora	grass
Eriochloa macclounii	grass
Eriochloa meyeriana	grass
Eriochloa michauxii	grass
Eriochloa montevidensis	grass
Eriochloa nana	grass
Eriochloa nelsonii	grass
Eriochloa pacifica	grass
Eriochloa parvispiculata	grass
Eriochloa peruviana	grass
Eriochloa polystachya	grass
Eriochloa procera	grass
Eriochloa pseudoacrotricha	grass
Eriochloa punctata	grass
Eriochloa rovumensis	grass
Eriochloa sericea	grass
Eriochloa setosa	grass
Eriochloa stapfiana	grass
Eriochloa stevensii	grass
Eriochloa subulifera	grass
Eriochloa succincta	grass
Eriochloa tridentata	grass
Eriochloa villosa	grass
Eriochloa weberbaueri	grass
Eriochrysis brachypogon	grass
Eriochrysis cayennensis	grass
Eriochrysis concepcionensis	grass
Eriochrysis filiformis	grass
Eriochrysis holcoides	grass
Eriochrysis laxa	grass
Eriochrysis pallida	grass
Eriochrysis purpurata	grass
Eriochrysis rangacharii	grass
Eriochrysis villosa	grass
Eriochrysis warmingiana	grass
Eriocoelum lawtonii	not assigned (tree)
Eriocoelum microspermum	not assigned (tree)
Eriodictyon angustifolium	not assigned ()
Eriodictyon californicum	not assigned (shrub)
Eriodictyon crassifolium	not assigned (shrub)
Eriodictyon tomentosum	forb
Eriodictyon traskiae	not assigned (shrub)
Eriodictyon trichocalyx	not assigned ()
Eriogonum alatum	forb
Eriogonum ampullaceum	forb
Eriogonum annuum	forb
Eriogonum arborescens	not assigned (shrub)
Eriogonum baileyi	forb
Eriogonum brachyanthum	forb
Eriogonum caespitosum	forb
Eriogonum capistratum	forb
Eriogonum cernuum	forb
Eriogonum cinereum	not assigned (shrub)
Eriogonum compositum	not assigned ()
Eriogonum corymbosum	not assigned (shrub)
Eriogonum crocatum	not assigned ()
Eriogonum davidsonii	forb
Eriogonum deflexum	forb
Eriogonum effusum	not assigned (shrub)
Eriogonum elatum	forb
Eriogonum fasciculatum	not assigned (shrub)
Eriogonum flavum	not assigned (herb/shrub)
Eriogonum giganteum	not assigned ()
Eriogonum heermannii	not assigned (shrub)
Eriogonum heracleoides	not assigned ()
Eriogonum inflatum	forb
Eriogonum kearneyi	forb
Eriogonum kennedyi	not assigned ()
Eriogonum lanatum	not assigned ()
Eriogonum latifolium	forb
Eriogonum lemmonii	forb
Eriogonum luteolum	not assigned ()
Eriogonum marifolium	not assigned (herb/shrub)
Eriogonum microthecum	not assigned (shrub)
Eriogonum multiceps	not assigned ()
Eriogonum nidularium	forb
Eriogonum niveum	not assigned (herb/shrub)
Eriogonum nodosum	not assigned ()
Eriogonum nudum	not assigned (herb/shrub)
Eriogonum nummulare	not assigned (shrub)
Eriogonum ovalifolium	forb
Eriogonum parvifolium	not assigned ()
Eriogonum pharnaceoides	forb
Eriogonum polycladon	forb
Eriogonum proliferum	not assigned ()
Eriogonum pusillum	not assigned ()
Eriogonum racemosum	not assigned (herb/shrub)
Eriogonum rosense	forb
Eriogonum saxatile	not assigned ()
Eriogonum spergulinum	not assigned ()
Eriogonum sphaerocephalum	not assigned (shrub)
Eriogonum strictum	not assigned (herb/shrub)
Eriogonum subreniforme	forb
Eriogonum thymoides	not assigned (herb/shrub)
Eriogonum trichopes	forb
Eriogonum umbellatum	not assigned (herb/shrub)
Eriogonum ursinum	not assigned ()
Eriogonum vestitum	not assigned ()
Eriogonum vimineum	not assigned ()
Eriogonum virgatum	not assigned ()
Eriogonum wrightii	not assigned (herb/shrub)
Eriolaena candollei	not assigned ()
