Species	PFT	Original names
Abacopteris nudata	not assigned (fern)	['Abacopteris multilineata']
Abarema	not assigned (legume?)	['Abarema lusoria']
Abarema cochliacarpos	not assigned (tree)	[]
Abatia parviflora	not assigned (shrub/tree)	[]
Abelia chinensis	not assigned (shrub)	['Abelia grandiflora']
Abelia macrotera	not assigned (shrub)	['Abelia graebneriana']
Abelia triflora	not assigned (shrub/tree)	[]
Abeliophyllum distichum	not assigned (shrub)	[]
Abelmoschus crinitus	forb	[]
Abelmoschus esculentus	forb	['Hibiscus esculentus']
Abelmoschus ficulneus	not assigned (shrub)	[]
Abelmoschus manihot	forb	['Hibiscus manihot']
Abelmoschus moschatus	forb	['Hibiscus abelmoschus']
Abies alba	not assigned (tree)	['Abies pardei']
Abies amabilis	not assigned (tree)	[]
Abies balsamea	not assigned (tree)	[]
Abies borisii-regis	not assigned (tree)	[]
Abies bracteata	not assigned (tree)	[]
Abies cephalonica	not assigned (tree)	[]
Abies chensiensis	not assigned (tree)	[]
Abies cilicica	not assigned (tree)	[]
Abies concolor	not assigned (tree)	[]
Abies delavayi	not assigned (tree)	[]
Abies densa	not assigned (tree)	[]
Abies fabri	not assigned (tree)	[]
Abies fargesii	not assigned (tree)	['Abies faxoniana']
Abies firma	not assigned (tree)	[]
Abies forrestii	not assigned (tree)	['Abies georgei']
Abies fraseri	not assigned (tree)	[]
Abies grandis	not assigned (tree)	[]
Abies guatemalensis	not assigned (tree)	[]
Abies holophylla	not assigned (tree)	[]
Abies homolepis	not assigned (tree)	[]
Abies kawakamii	not assigned (tree)	[]
Abies koreana	not assigned (tree)	[]
Abies lasiocarpa	not assigned (tree)	['Abies arizonica']
Abies magnifica	not assigned (tree)	['Abies shastensis']
Abies mariesii	not assigned (tree)	[]
Abies nebrodensis	not assigned (tree)	[]
Abies nephrolepis	not assigned (tree)	[]
Abies nordmanniana	not assigned (tree)	['Abies bornmuelleriana']
Abies numidica	not assigned (tree)	[]
Abies pindrow	not assigned (tree)	[]
Abies pinsapo	not assigned (tree)	['Abies marocana']
Abies procera	not assigned (tree)	[]
Abies recurvata	not assigned (tree)	['Abies ernestii']
Abies religiosa	not assigned (tree)	[]
Abies sachalinensis	not assigned (tree)	[]
Abies sibirica	not assigned (tree)	[]
Abies spectabilis	not assigned (tree)	[]
Abies squamata	not assigned (tree)	[]
Abies veitchii	not assigned (tree)	[]
Abies vejarii	not assigned (tree)	[]
Abildgaardia macrantha	grass	['Fimbristylis macrantha']
Abildgaardia ovata	grass	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	grass	['Fimbristylis oxystachya']
Abildgaardia schoenoides	grass	['Fimbristylis squarrulosa']
Abildgaardia triflora	grass	['Fimbristylis triflora']
Abiu caramuri	not assigned (tree)	[]
Abrahamia ditimena	not assigned (tree)	['Protorhus ditimena']
Abrahamia sericea	not assigned (tree)	['Protorhus sericea']
Abrahamia viguieri	not assigned (shrub/tree)	['Protorhus viguieri']
Abrodictyum caudatum	not assigned (fern)	['Macroglena caudata']
Abrodictyum elongatum	not assigned (fern)	['Selenodesmium elongatum']
Abroma augustum	not assigned (shrub)	['Abroma augusta']
Abronia ameliae	forb	[]
Abronia fragrans	forb	[]
Abronia latifolia	forb	[]
Abronia maritima	forb	[]
Abronia pogonantha	forb	[]
Abronia turbinata	forb	[]
Abronia umbellata	forb	[]
Abronia villosa	forb	[]
Abrophyllum ornans	not assigned (shrub/tree)	[]
Abrus canescens	not assigned (shrub)	[]
Abrus laevigatus	not assigned (legume?)	[]
Abrus precatorius	not assigned (shrub)	[]
Abrus pulchellus	not assigned (shrub)	[]
Abrus schimperi	not assigned (shrub)	[]
Abuta grandifolia	not assigned (tree)	[]
Abuta grisebachii	not assigned ()	[]
Abuta imene	not assigned ()	[]
Abuta pahni	not assigned ()	[]
Abuta panamensis	not assigned (tree)	[]
Abuta racemosa	not assigned ()	[]
Abuta rufescens	forb	[]
Abuta solimoesensis	not assigned ()	[]
Abuta velutina	not assigned (shrub/tree)	[]
Abutilon	not assigned	['Abutilon canariense', 'Abutilon molle']
Abutilon abutiloides	not assigned (herb/shrub)	[]
Abutilon angulatum	not assigned (herb/shrub)	[]
Abutilon auritum	not assigned (shrub)	[]
Abutilon austroafricanum	not assigned (herb/shrub)	['Abutilon austro-africanum']
Abutilon bidentatum	not assigned (shrub)	[]
Abutilon bivalve	not assigned ()	['Bastardia bivalvis']
Abutilon cryptopetalum	not assigned (herb/shrub)	[]
Abutilon dugesii	not assigned (shrub)	[]
Abutilon englerianum	not assigned (shrub)	[]
Abutilon eremitopetalum	not assigned (shrub)	[]
Abutilon fraseri	not assigned (shrub)	[]
Abutilon fruticosum	not assigned (herb/shrub)	[]
Abutilon glabriflorum	not assigned (shrub)	[]
Abutilon grandiflorum	not assigned (herb/shrub)	[]
Abutilon grantii	not assigned (herb/shrub)	[]
Abutilon greveanum	not assigned (shrub)	[]
Abutilon guineense	not assigned (shrub)	[]
Abutilon hirtum	not assigned (herb/shrub)	[]
Abutilon incanum	not assigned (herb/shrub)	[]
Abutilon indicum	not assigned (shrub)	[]
Abutilon lauraster	not assigned (herb/shrub)	[]
Abutilon lepidum	not assigned (shrub)	[]
Abutilon leucopetalum	not assigned (shrub)	[]
Abutilon longicuspe	not assigned (shrub)	[]
Abutilon mauritianum	not assigned (herb/shrub)	['Pavonia patens']
Abutilon menziesii	not assigned (shrub)	[]
Abutilon mitchellii	not assigned (shrub)	['Abutilon mitchelli']
Abutilon mollissimum	not assigned (shrub)	[]
Abutilon otocarpum	not assigned (shrub)	[]
Abutilon oxycarpum	not assigned (shrub)	[]
Abutilon pannosum	not assigned	['Abutilon muticum']
Abutilon parvulum	forb	[]
Abutilon pseudocleistogamum	not assigned (shrub)	[]
Abutilon pycnodon	not assigned (herb/shrub)	['Abutilon matopense']
Abutilon ramosum	not assigned (herb/shrub)	[]
Abutilon reflexum	not assigned (shrub)	[]
Abutilon rehmannii	not assigned (shrub)	[]
Abutilon sandwicense	not assigned (shrub)	[]
Abutilon sonneratianum	not assigned (shrub)	[]
Abutilon theophrasti	forb	['Abutilon theophrastii']
Abutilon trisulcatum	not assigned (shrub)	[]
Abutilon viscosum	not assigned (herb/shrub)	['Bastardia viscosa']
Acacia	not assigned	['Acacia capitata', 'Acacia cunninghamii', 'Acacia discolor', 'Acacia glaucescens', 'Acacia mollissima', 'Acacia nana', 'Acacia nova-anglica', 'Acacia phyllodes', 'Acacia spathulata', 'Acacia stowardii', 'Acacia vermicularis', 'Acacia vypres']
Acacia acanthoclada	not assigned (shrub)	[]
Acacia acinacea	not assigned (shrub)	[]
Acacia acradenia	not assigned (shrub/tree)	[]
Acacia acrionastes	not assigned (tree)	[]
Acacia aculeatissima	not assigned (shrub)	[]
Acacia acuminata	not assigned (shrub/tree)	[]
Acacia adoxa	not assigned (shrub)	[]
Acacia adsurgens	not assigned (shrub)	[]
Acacia adunca	not assigned (shrub/tree)	['Acacia accola']
Acacia aestivalis	not assigned (shrub/tree)	[]
Acacia alata	not assigned (shrub)	[]
Acacia alcockii	not assigned (shrub)	[]
Acacia alleniana	not assigned (tree)	[]
Acacia amblygona	not assigned (shrub)	[]
Acacia ammobia	not assigned (tree)	[]
Acacia amoena	not assigned (tree)	[]
Acacia ampliceps	not assigned (tree)	[]
Acacia anceps	not assigned (shrub)	[]
Acacia ancistrocarpa	not assigned (tree)	[]
Acacia aneura	not assigned (shrub/tree)	[]
Acacia anfractuosa	not assigned (tree)	[]
Acacia anthochaera	not assigned (shrub/tree)	[]
Acacia aphylla	not assigned (shrub)	[]
Acacia aprica	not assigned (shrub)	[]
Acacia argyrophylla	not assigned (tree)	[]
Acacia ascendens	not assigned (tree)	[]
Acacia asepala	not assigned (shrub)	[]
Acacia aspera	not assigned (tree)	[]
Acacia assimilis	not assigned (tree)	[]
Acacia atkinsiana	not assigned (tree)	[]
Acacia aulacocarpa	not assigned (tree)	[]
Acacia aureocrinita	not assigned (shrub)	[]
Acacia auriculiformis	not assigned (tree)	['Acacia auriculaeformis']
Acacia ausfeldii	not assigned (tree)	[]
Acacia baeuerlenii	not assigned (shrub)	[]
Acacia baileyana	not assigned (tree)	[]
Acacia bakeri	not assigned (tree)	[]
Acacia bancroftiorum	not assigned (shrub/tree)	['Acacia bancroftii']
Acacia barringtonensis	not assigned (shrub)	[]
Acacia baueri	not assigned (tree)	[]
Acacia beadleana	not assigned (shrub)	[]
Acacia beauverdiana	not assigned (tree)	[]
Acacia beckleri	not assigned (tree)	[]
Acacia betchei	not assigned (tree)	[]
Acacia bifaria	not assigned (tree)	[]
Acacia binervata	not assigned (shrub/tree)	[]
Acacia binervia	not assigned (tree)	[]
Acacia bivenosa	not assigned (tree)	[]
Acacia blakei	not assigned (tree)	[]
Acacia blakelyi	not assigned (tree)	[]
Acacia blayana	not assigned (tree)	[]
Acacia boormanii	not assigned (tree)	[]
Acacia botrydion	not assigned (tree)	[]
Acacia brachybotrya	not assigned (shrub)	[]
Acacia brachystachya	not assigned (tree)	[]
Acacia brassii	not assigned (tree)	[]
Acacia browniana	not assigned (tree)	[]
Acacia brownii	not assigned (shrub)	[]
Acacia brumalis	not assigned (tree)	[]
Acacia brunioides	not assigned (shrub)	[]
Acacia bulgaensis	not assigned (shrub/tree)	[]
Acacia burbidgeae	not assigned (tree)	[]
Acacia burkittii	not assigned (shrub/tree)	[]
Acacia burrowii	not assigned (shrub/tree)	[]
Acacia buxifolia	not assigned (tree)	[]
Acacia caerulescens	not assigned (tree)	[]
Acacia caesariata	not assigned (shrub)	[]
Acacia caesiella	not assigned (shrub/tree)	[]
Acacia calamifolia	not assigned (tree)	[]
Acacia calcicola	not assigned (tree)	[]
