Species	PFT
Abacopteris nudata	not assigned (fern)
Abarema	not assigned (legume?)
Abarema cochliacarpos	not assigned (tree)
Abatia parviflora	not assigned (shrub/tree)
Abelia chinensis	not assigned (shrub)
Abelia macrotera	not assigned (shrub)
Abelia triflora	not assigned (shrub/tree)
Abeliophyllum distichum	not assigned (shrub)
Abelmoschus crinitus	forb
Abelmoschus esculentus	forb
Abelmoschus ficulneus	not assigned (shrub)
Abelmoschus manihot	forb
Abelmoschus moschatus	forb
Abies alba	not assigned (tree)
Abies amabilis	not assigned (tree)
Abies balsamea	not assigned (tree)
Abies borisii-regis	not assigned (tree)
Abies bracteata	not assigned (tree)
Abies cephalonica	not assigned (tree)
Abies chensiensis	not assigned (tree)
Abies cilicica	not assigned (tree)
Abies concolor	not assigned (tree)
Abies delavayi	not assigned (tree)
Abies densa	not assigned (tree)
Abies fabri	not assigned (tree)
Abies fargesii	not assigned (tree)
Abies firma	not assigned (tree)
Abies forrestii	not assigned (tree)
Abies fraseri	not assigned (tree)
Abies grandis	not assigned (tree)
Abies guatemalensis	not assigned (tree)
Abies holophylla	not assigned (tree)
Abies homolepis	not assigned (tree)
Abies kawakamii	not assigned (tree)
Abies koreana	not assigned (tree)
Abies lasiocarpa	not assigned (tree)
Abies magnifica	not assigned (tree)
Abies mariesii	not assigned (tree)
Abies nebrodensis	not assigned (tree)
Abies nephrolepis	not assigned (tree)
Abies nordmanniana	not assigned (tree)
Abies numidica	not assigned (tree)
Abies pindrow	not assigned (tree)
Abies pinsapo	not assigned (tree)
Abies procera	not assigned (tree)
Abies recurvata	not assigned (tree)
Abies religiosa	not assigned (tree)
Abies sachalinensis	not assigned (tree)
Abies sibirica	not assigned (tree)
Abies spectabilis	not assigned (tree)
Abies squamata	not assigned (tree)
Abies veitchii	not assigned (tree)
Abies vejarii	not assigned (tree)
Abildgaardia macrantha	grass
Abildgaardia ovata	grass
Abildgaardia oxystachya	grass
Abildgaardia schoenoides	grass
Abildgaardia triflora	grass
Abiu caramuri	not assigned (tree)
Abrahamia ditimena	not assigned (tree)
Abrahamia sericea	not assigned (tree)
Abrahamia viguieri	not assigned (shrub/tree)
Abrodictyum caudatum	not assigned (fern)
Abrodictyum elongatum	not assigned (fern)
Abroma augustum	not assigned (shrub)
Abronia ameliae	forb
Abronia fragrans	forb
Abronia latifolia	forb
Abronia maritima	forb
Abronia pogonantha	forb
Abronia turbinata	forb
Abronia umbellata	forb
Abronia villosa	forb
Abrophyllum ornans	not assigned (shrub/tree)
Abrus canescens	not assigned (shrub)
Abrus laevigatus	not assigned (legume?)
Abrus precatorius	not assigned (shrub)
Abrus pulchellus	not assigned (shrub)
Abrus schimperi	not assigned (shrub)
Abuta grandifolia	not assigned (tree)
Abuta grisebachii	not assigned ()
Abuta imene	not assigned ()
Abuta pahni	not assigned ()
Abuta panamensis	not assigned (tree)
Abuta racemosa	not assigned ()
Abuta rufescens	forb
Abuta solimoesensis	not assigned ()
Abuta velutina	not assigned (shrub/tree)
Abutilon	not assigned
Abutilon abutiloides	not assigned (herb/shrub)
Abutilon angulatum	not assigned (herb/shrub)
Abutilon auritum	not assigned (shrub)
Abutilon austroafricanum	not assigned (herb/shrub)
Abutilon bidentatum	not assigned (shrub)
Abutilon bivalve	not assigned ()
Abutilon cryptopetalum	not assigned (herb/shrub)
Abutilon dugesii	not assigned (shrub)
Abutilon englerianum	not assigned (shrub)
Abutilon eremitopetalum	not assigned (shrub)
Abutilon fraseri	not assigned (shrub)
Abutilon fruticosum	not assigned (herb/shrub)
Abutilon glabriflorum	not assigned (shrub)
Abutilon grandiflorum	not assigned (herb/shrub)
Abutilon grantii	not assigned (herb/shrub)
Abutilon greveanum	not assigned (shrub)
Abutilon guineense	not assigned (shrub)
Abutilon hirtum	not assigned (herb/shrub)
Abutilon incanum	not assigned (herb/shrub)
Abutilon indicum	not assigned (shrub)
Abutilon lauraster	not assigned (herb/shrub)
Abutilon lepidum	not assigned (shrub)
Abutilon leucopetalum	not assigned (shrub)
Abutilon longicuspe	not assigned (shrub)
Abutilon mauritianum	not assigned (herb/shrub)
Abutilon menziesii	not assigned (shrub)
Abutilon mitchellii	not assigned (shrub)
Abutilon mollissimum	not assigned (shrub)
Abutilon otocarpum	not assigned (shrub)
Abutilon oxycarpum	not assigned (shrub)
Abutilon pannosum	not assigned
Abutilon parvulum	forb
Abutilon pseudocleistogamum	not assigned (shrub)
Abutilon pycnodon	not assigned (herb/shrub)
Abutilon ramosum	not assigned (herb/shrub)
Abutilon reflexum	not assigned (shrub)
Abutilon rehmannii	not assigned (shrub)
Abutilon sandwicense	not assigned (shrub)
Abutilon sonneratianum	not assigned (shrub)
Abutilon theophrasti	forb
Abutilon trisulcatum	not assigned (shrub)
Abutilon viscosum	not assigned (herb/shrub)
Acacia	not assigned
Acacia acanthoclada	not assigned (shrub)
Acacia acinacea	not assigned (shrub)
Acacia acradenia	not assigned (shrub/tree)
Acacia acrionastes	not assigned (tree)
Acacia aculeatissima	not assigned (shrub)
Acacia acuminata	not assigned (shrub/tree)
