Species	Family
Abacopteris multilineata	Thelypteridaceae
Abarema adenophora	Fabaceae
Abarema barbouriana	Fabaceae
Abarema brachystachya	Fabaceae
Abarema cochliacarpos	Fabaceae
Abarema curvicarpa	Fabaceae
Abarema jupunba	Fabaceae
Abarema laeta	Fabaceae
Abarema lusoria	Fabaceae
Abarema macradenia	Fabaceae
Abarema mataybifolia	Fabaceae
Abarema piresii	Fabaceae
Abarema racemiflora	Fabaceae
Abatia parviflora	Flacourtiaceae
Abelia biflora	Caprifoliaceae
Abelia chinensis	Caprifoliaceae
Abelia dielsii	Caprifoliaceae
Abelia graebneriana	Caprifoliaceae
Abelia grandiflora	Caprifoliaceae
Abelia integrifolia	Caprifoliaceae
Abelia mosanensis	Caprifoliaceae
Abelia serrata	Caprifoliaceae
Abelia spathulata	Caprifoliaceae
Abelia triflora	Caprifoliaceae
Abeliophyllum distichum	Oleaceae
Abelmoschus crinitus	Malvaceae
Abelmoschus esculentus	Malvaceae
Abelmoschus ficulneus	Malvaceae
Abelmoschus manihot	Malvaceae
Abelmoschus moschatus	Malvaceae
Abies alba	Pinaceae
Abies amabilis	Pinaceae
Abies arizonica	Pinaceae
Abies balsamea	Pinaceae
Abies borisii-regis	Pinaceae
Abies bornmuelleriana	Pinaceae
Abies bracteata	Pinaceae
Abies cephalonica	Pinaceae
Abies chensiensis	Pinaceae
Abies cilicica	Pinaceae
Abies concolor	Pinaceae
Abies delavayi	Pinaceae
Abies densa	Pinaceae
Abies ernestii	Pinaceae
Abies fabri	Pinaceae
Abies fargesii	Pinaceae
Abies faxoniana	Pinaceae
Abies firma	Pinaceae
Abies forrestii	Pinaceae
Abies fraseri	Pinaceae
Abies georgei	Pinaceae
Abies grandis	Pinaceae
Abies guatemalensis	Pinaceae
Abies holophylla	Pinaceae
Abies homolepis	Pinaceae
Abies kawakamii	Pinaceae
Abies koreana	Pinaceae
Abies lasiocarpa	Pinaceae
Abies magnifica	Pinaceae
Abies mariesii	Pinaceae
Abies marocana	Pinaceae
Abies nebrodensis	Pinaceae
Abies nephrolepis	Pinaceae
Abies nordmanniana	Pinaceae
Abies numidica	Pinaceae
Abies pardei	Pinaceae
Abies pindrow	Pinaceae
Abies pinsapo	Pinaceae
Abies procera	Pinaceae
Abies recurvata	Pinaceae
Abies religiosa	Pinaceae
Abies sachalinensis	Pinaceae
Abies shastensis	Pinaceae
Abies sibirica	Pinaceae
Abies spectabilis	Pinaceae
Abies squamata	Pinaceae
Abies veitchii	Pinaceae
Abies vejarii	Pinaceae
Abiu caramuri	
Abroma augusta	Sterculiaceae
Abronia ameliae	Nyctaginaceae
Abronia fragrans	Nyctaginaceae
Abronia latifolia	Nyctaginaceae
Abronia maritima	Nyctaginaceae
Abronia pogonantha	Nyctaginaceae
Abronia turbinata	Nyctaginaceae
Abronia umbellata	Nyctaginaceae
Abronia villosa	Nyctaginaceae
Abrophyllum ornans	Escalloniaceae
Abrus canescens	Fabaceae
Abrus laevigatus	Fabaceae
Abrus precatorius	Fabaceae
Abrus pulchellus	Fabaceae
Abrus schimperi	Fabaceae
Abuta grandifolia	Menispermaceae
Abuta grisebachii	Menispermaceae
Abuta imene	Menispermaceae
Abuta pahni	Menispermaceae
Abuta panamensis	Menispermaceae
Abuta racemosa	Menispermaceae
Abuta rufescens	Menispermaceae
Abuta solimoesensis	Menispermaceae
Abuta velutina	Menispermaceae
Abutilon abutiloides	Malvaceae
Abutilon angulatum	Malvaceae
Abutilon auritum	Malvaceae
Abutilon austroafricanum	Malvaceae
Abutilon austro-africanum	Malvaceae
Abutilon bidentatum	Malvaceae
Abutilon canariense	Malvaceae
Abutilon chittendenii	Malvaceae
Abutilon cryptopetalum	Malvaceae
Abutilon dugesii	Malvaceae
Abutilon ellipticum	Malvaceae
Abutilon englerianum	Malvaceae
Abutilon eremitopetalum	Malvaceae
Abutilon fraseri	Malvaceae
Abutilon fruticosum	Malvaceae
Abutilon glabriflorum	Malvaceae
Abutilon grandiflorum	Malvaceae
