Species	PFT	Original names
Abacopteris nudata	(fern)	['Abacopteris multilineata']
Abarema cochliacarpos	(tree)	['Abarema cochliacarpos']
Abarema species	not assigned	['Abarema lusoria']
Abatia parviflora	(shrub/tree)	['Abatia parviflora']
Abelia chinensis	(shrub)	['Abelia chinensis', 'Abelia grandiflora']
Abelia macrotera	(shrub)	['Abelia graebneriana']
Abelia triflora	(shrub/tree)	['Abelia triflora']
Abeliophyllum distichum	(shrub)	['Abeliophyllum distichum']
Abelmoschus crinitus	forb	['Abelmoschus crinitus']
Abelmoschus esculentus	forb	['Abelmoschus esculentus', 'Hibiscus esculentus']
Abelmoschus ficulneus	(shrub)	['Abelmoschus ficulneus']
Abelmoschus manihot	forb	['Abelmoschus manihot', 'Hibiscus manihot']
Abelmoschus moschatus	forb	['Abelmoschus moschatus', 'Hibiscus abelmoschus']
Abies alba	(tree)	['Abies alba', 'Abies pardei']
Abies amabilis	(tree)	['Abies amabilis']
Abies balsamea	(tree)	['Abies balsamea']
Abies borisii-regis	(tree)	['Abies borisii-regis']
Abies bracteata	(tree)	['Abies bracteata']
Abies cephalonica	(tree)	['Abies cephalonica']
Abies chensiensis	(tree)	['Abies chensiensis']
Abies cilicica	(tree)	['Abies cilicica']
Abies concolor	(tree)	['Abies concolor']
Abies delavayi	(tree)	['Abies delavayi']
Abies densa	(tree)	['Abies densa']
Abies fabri	(tree)	['Abies fabri']
Abies fargesii	(tree)	['Abies fargesii', 'Abies faxoniana']
Abies firma	(tree)	['Abies firma']
Abies forrestii	(tree)	['Abies forrestii', 'Abies georgei']
Abies fraseri	(tree)	['Abies fraseri']
Abies grandis	(tree)	['Abies grandis']
Abies guatemalensis	(tree)	['Abies guatemalensis']
Abies holophylla	(tree)	['Abies holophylla']
Abies homolepis	(tree)	['Abies homolepis']
Abies kawakamii	(tree)	['Abies kawakamii']
Abies koreana	(tree)	['Abies koreana']
Abies lasiocarpa	(tree)	['Abies arizonica', 'Abies lasiocarpa']
Abies magnifica	(tree)	['Abies magnifica', 'Abies shastensis']
Abies mariesii	(tree)	['Abies mariesii']
Abies nebrodensis	(tree)	['Abies nebrodensis']
Abies nephrolepis	(tree)	['Abies nephrolepis']
Abies nordmanniana	(tree)	['Abies bornmuelleriana', 'Abies nordmanniana']
Abies numidica	(tree)	['Abies numidica']
Abies pindrow	(tree)	['Abies pindrow']
Abies pinsapo	(tree)	['Abies marocana', 'Abies pinsapo']
Abies procera	(tree)	['Abies procera']
Abies recurvata	(tree)	['Abies ernestii', 'Abies recurvata']
Abies religiosa	(tree)	['Abies religiosa']
Abies sachalinensis	(tree)	['Abies sachalinensis']
Abies sibirica	(tree)	['Abies sibirica']
Abies spectabilis	(tree)	['Abies spectabilis']
Abies squamata	(tree)	['Abies squamata']
Abies veitchii	(tree)	['Abies veitchii']
Abies vejarii	(tree)	['Abies vejarii']
Abildgaardia macrantha	grass	['Fimbristylis macrantha']
Abildgaardia ovata	grass	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	grass	['Fimbristylis oxystachya']
Abildgaardia schoenoides	grass	['Fimbristylis squarrulosa']
Abildgaardia triflora	grass	['Fimbristylis triflora']
Abiu caramuri	(tree)	['Abiu caramuri']
Abrahamia ditimena	(tree)	['Protorhus ditimena']
Abrahamia sericea	(tree)	['Protorhus sericea']
Abrahamia viguieri	(shrub/tree)	['Protorhus viguieri']
Abrodictyum caudatum	(fern)	['Macroglena caudata']
Abrodictyum elongatum	(fern)	['Selenodesmium elongatum']
Abroma augustum	(shrub)	['Abroma augusta']
Abronia ameliae	forb	['Abronia ameliae']
Abronia fragrans	forb	['Abronia fragrans']
Abronia latifolia	forb	['Abronia latifolia']
Abronia maritima	forb	['Abronia maritima']
Abronia pogonantha	forb	['Abronia pogonantha']
Abronia turbinata	forb	['Abronia turbinata']
Abronia umbellata	forb	['Abronia umbellata']
Abronia villosa	forb	['Abronia villosa']
Abrophyllum ornans	(shrub/tree)	['Abrophyllum ornans']
Abrus canescens	(shrub)	['Abrus canescens']
Abrus laevigatus	(legume?)	['Abrus laevigatus']
Abrus precatorius	(shrub)	['Abrus precatorius']
Abrus pulchellus	(shrub)	['Abrus pulchellus']
Abrus schimperi	(shrub)	['Abrus schimperi']
Abuta grandifolia	(tree)	['Abuta grandifolia']
Abuta grisebachii	not assigned	['Abuta grisebachii']
Abuta imene	not assigned	['Abuta imene']
Abuta pahni	not assigned	['Abuta pahni']
Abuta panamensis	(tree)	['Abuta panamensis']
Abuta racemosa	not assigned	['Abuta racemosa']
Abuta rufescens	forb	['Abuta rufescens']
Abuta solimoesensis	not assigned	['Abuta solimoesensis']
Abuta velutina	(shrub/tree)	['Abuta velutina']
Abutilon abutiloides	conflicting (forb vs. shrub)	['Abutilon abutiloides']
Abutilon angulatum	conflicting (forb vs. shrub)	['Abutilon angulatum']
Abutilon auritum	(shrub)	['Abutilon auritum']
Abutilon austroafricanum	conflicting (forb vs. shrub)	['Abutilon austroafricanum', 'Abutilon austro-africanum']
Abutilon bidentatum	(shrub)	['Abutilon bidentatum']
Abutilon bivalve	not assigned	['Bastardia bivalvis']
Abutilon cryptopetalum	conflicting (forb vs. shrub)	['Abutilon cryptopetalum']
Abutilon dugesii	(shrub)	['Abutilon dugesii']
Abutilon englerianum	(shrub)	['Abutilon englerianum']
Abutilon eremitopetalum	(shrub)	['Abutilon eremitopetalum']
Abutilon fraseri	(shrub)	['Abutilon fraseri']
Abutilon fruticosum	conflicting (forb vs. shrub)	['Abutilon fruticosum']
Abutilon glabriflorum	(shrub)	['Abutilon glabriflorum']
Abutilon grandiflorum	conflicting (forb vs. shrub)	['Abutilon grandiflorum']
Abutilon grantii	conflicting (forb vs. shrub)	['Abutilon grantii']
Abutilon greveanum	(shrub)	['Abutilon greveanum']
Abutilon guineense	(shrub)	['Abutilon guineense']
Abutilon hirtum	conflicting (forb vs. shrub)	['Abutilon hirtum']
Abutilon incanum	conflicting (forb vs. shrub)	['Abutilon incanum']
Abutilon indicum	(shrub)	['Abutilon indicum']
Abutilon lauraster	conflicting (forb vs. shrub)	['Abutilon lauraster']
Abutilon lepidum	(shrub)	['Abutilon lepidum']
Abutilon leucopetalum	(shrub)	['Abutilon leucopetalum']
Abutilon longicuspe	(shrub)	['Abutilon longicuspe']
Abutilon mauritianum	conflicting (forb vs. shrub)	['Abutilon mauritianum', 'Pavonia patens']
Abutilon menziesii	(shrub)	['Abutilon menziesii']
Abutilon mitchellii	(shrub)	['Abutilon mitchelli']
Abutilon mollissimum	(shrub)	['Abutilon mollissimum']
Abutilon otocarpum	(shrub)	['Abutilon otocarpum']
Abutilon oxycarpum	(shrub)	['Abutilon oxycarpum']
Abutilon pannosum	conflicting (forb vs. shrub)	['Abutilon muticum', 'Abutilon pannosum']
Abutilon parvulum	forb	['Abutilon parvulum']
Abutilon pseudocleistogamum	(shrub)	['Abutilon pseudocleistogamum']
