Species	PFT
Abacopteris multilineata	(fern)
Abarema adenophora	(tree)
Abarema barbouriana	(tree)
Abarema brachystachya	(shrub/tree)
Abarema cochliacarpos	(tree)
Abarema curvicarpa	(tree)
Abarema jupunba	(tree)
Abarema laeta	(tree)
Abarema lusoria	(legume?)
Abarema macradenia	(tree)
Abarema mataybifolia	(tree)
Abarema piresii	(tree)
Abarema racemiflora	(tree)
Abatia parviflora	(shrub/tree)
Abelia biflora	(shrub)
Abelia chinensis	(shrub)
Abelia dielsii	(shrub)
Abelia graebneriana	(shrub)
Abelia grandiflora	(shrub)
Abelia integrifolia	(shrub)
Abelia mosanensis	(shrub)
Abelia serrata	(shrub)
Abelia spathulata	(shrub)
Abelia triflora	(shrub/tree)
Abeliophyllum distichum	(shrub)
Abelmoschus crinitus	forb
Abelmoschus esculentus	forb
Abelmoschus ficulneus	(shrub)
Abelmoschus manihot	forb
Abelmoschus moschatus	forb
Abies alba	(tree)
Abies amabilis	(tree)
Abies arizonica	(tree)
Abies balsamea	(tree)
Abies borisii-regis	(tree)
Abies bornmuelleriana	(tree)
Abies bracteata	(tree)
Abies cephalonica	(tree)
Abies chensiensis	(tree)
Abies cilicica	(tree)
Abies concolor	(tree)
Abies delavayi	(tree)
Abies densa	(tree)
Abies ernestii	(tree)
Abies fabri	(tree)
Abies fargesii	(tree)
Abies faxoniana	(tree)
Abies firma	(tree)
Abies forrestii	(tree)
Abies fraseri	(tree)
Abies georgei	(tree)
Abies grandis	(tree)
Abies guatemalensis	(tree)
Abies holophylla	(tree)
Abies homolepis	(tree)
Abies kawakamii	(tree)
Abies koreana	(tree)
Abies lasiocarpa	(tree)
Abies magnifica	(tree)
Abies mariesii	(tree)
Abies marocana	(tree)
Abies nebrodensis	(tree)
Abies nephrolepis	(tree)
Abies nordmanniana	(tree)
Abies numidica	(tree)
Abies pardei	(tree)
Abies pindrow	(tree)
Abies pinsapo	(tree)
Abies procera	(tree)
Abies recurvata	(tree)
Abies religiosa	(tree)
Abies sachalinensis	(tree)
Abies shastensis	(tree)
Abies sibirica	(tree)
Abies spectabilis	(tree)
Abies squamata	(tree)
Abies veitchii	(tree)
Abies vejarii	(tree)
Abiu caramuri	(tree)
Abroma augusta	(shrub)
Abronia ameliae	forb
Abronia fragrans	forb
Abronia latifolia	forb
Abronia maritima	forb
Abronia pogonantha	forb
Abronia turbinata	forb
Abronia umbellata	forb
Abronia villosa	forb
Abrophyllum ornans	(shrub/tree)
Abrus canescens	(shrub)
Abrus laevigatus	(legume?)
Abrus precatorius	(shrub)
Abrus pulchellus	(shrub)
Abrus schimperi	(shrub)
Abuta grandifolia	(tree)
Abuta grisebachii	not assigned
Abuta imene	not assigned
Abuta pahni	not assigned
Abuta panamensis	(tree)
Abuta racemosa	not assigned
Abuta rufescens	forb
Abuta solimoesensis	not assigned
Abuta velutina	(shrub/tree)
Abutilon abutiloides	conflicting (forb vs. shrub)
Abutilon angulatum	conflicting (forb vs. shrub)
Abutilon auritum	(shrub)
Abutilon austroafricanum	conflicting (forb vs. shrub)
Abutilon austro-africanum	conflicting (forb vs. shrub)
Abutilon bidentatum	(shrub)
Abutilon canariense	not assigned
Abutilon chittendenii	(shrub)
Abutilon cryptopetalum	conflicting (forb vs. shrub)
Abutilon dugesii	(shrub)
Abutilon ellipticum	(tree)
Abutilon englerianum	(shrub)
Abutilon eremitopetalum	(shrub)
Abutilon fraseri	(shrub)
Abutilon fruticosum	conflicting (forb vs. shrub)
Abutilon glabriflorum	(shrub)
Abutilon grandiflorum	conflicting (forb vs. shrub)
