Species	Woodiness	Original names
Abacopteris nudata	(fern)	['Abacopteris multilineata']
Abarema cochliacarpos	woody	['Abarema cochliacarpos']
Abarema species	not assigned	['Abarema lusoria']
Abatia parviflora	woody	['Abatia parviflora']
Abelia chinensis	woody	['Abelia chinensis', 'Abelia grandiflora']
Abelia macrotera	woody	['Abelia graebneriana']
Abelia triflora	woody	['Abelia triflora']
Abeliophyllum distichum	woody	['Abeliophyllum distichum']
Abelmoschus crinitus	herbaceous	['Abelmoschus crinitus']
Abelmoschus esculentus	herbaceous	['Abelmoschus esculentus', 'Hibiscus esculentus']
Abelmoschus ficulneus	woody	['Abelmoschus ficulneus']
Abelmoschus manihot	herbaceous	['Abelmoschus manihot', 'Hibiscus manihot']
Abelmoschus moschatus	herbaceous	['Abelmoschus moschatus', 'Hibiscus abelmoschus']
Abies alba	woody	['Abies alba', 'Abies pardei']
Abies amabilis	woody	['Abies amabilis']
Abies balsamea	woody	['Abies balsamea']
Abies borisii-regis	woody	['Abies borisii-regis']
Abies bracteata	woody	['Abies bracteata']
Abies cephalonica	woody	['Abies cephalonica']
Abies chensiensis	woody	['Abies chensiensis']
Abies cilicica	woody	['Abies cilicica']
Abies concolor	woody	['Abies concolor']
Abies delavayi	woody	['Abies delavayi']
Abies densa	woody	['Abies densa']
Abies fabri	woody	['Abies fabri']
Abies fargesii	woody	['Abies fargesii', 'Abies faxoniana']
Abies firma	woody	['Abies firma']
Abies forrestii	woody	['Abies forrestii', 'Abies georgei']
Abies fraseri	woody	['Abies fraseri']
Abies grandis	woody	['Abies grandis']
Abies guatemalensis	woody	['Abies guatemalensis']
Abies holophylla	woody	['Abies holophylla']
Abies homolepis	woody	['Abies homolepis']
Abies kawakamii	woody	['Abies kawakamii']
Abies koreana	woody	['Abies koreana']
Abies lasiocarpa	woody	['Abies arizonica', 'Abies lasiocarpa']
Abies magnifica	woody	['Abies magnifica', 'Abies shastensis']
Abies mariesii	woody	['Abies mariesii']
Abies nebrodensis	woody	['Abies nebrodensis']
Abies nephrolepis	woody	['Abies nephrolepis']
Abies nordmanniana	woody	['Abies bornmuelleriana', 'Abies nordmanniana']
Abies numidica	woody	['Abies numidica']
Abies pindrow	woody	['Abies pindrow']
Abies pinsapo	woody	['Abies marocana', 'Abies pinsapo']
Abies procera	woody	['Abies procera']
Abies recurvata	woody	['Abies ernestii', 'Abies recurvata']
Abies religiosa	woody	['Abies religiosa']
Abies sachalinensis	woody	['Abies sachalinensis']
Abies sibirica	woody	['Abies sibirica']
Abies spectabilis	woody	['Abies spectabilis']
Abies squamata	woody	['Abies squamata']
Abies veitchii	woody	['Abies veitchii']
Abies vejarii	woody	['Abies vejarii']
Abildgaardia macrantha	herbaceous	['Fimbristylis macrantha']
Abildgaardia ovata	herbaceous	['Fimbristylis monostachya', 'Fimbristylis ovata']
Abildgaardia oxystachya	herbaceous	['Fimbristylis oxystachya']
Abildgaardia schoenoides	herbaceous	['Fimbristylis squarrulosa']
Abildgaardia triflora	herbaceous	['Fimbristylis triflora']
Abiu caramuri	woody	['Abiu caramuri']
Abrahamia ditimena	woody	['Protorhus ditimena']
Abrahamia sericea	woody	['Protorhus sericea']
Abrahamia viguieri	woody	['Protorhus viguieri']
Abrodictyum caudatum	(fern)	['Macroglena caudata']
Abrodictyum elongatum	(fern)	['Selenodesmium elongatum']
Abroma augustum	woody	['Abroma augusta']
Abronia ameliae	herbaceous	['Abronia ameliae']
Abronia fragrans	herbaceous	['Abronia fragrans']
Abronia latifolia	herbaceous	['Abronia latifolia']
Abronia maritima	herbaceous	['Abronia maritima']
Abronia pogonantha	herbaceous	['Abronia pogonantha']
Abronia turbinata	herbaceous	['Abronia turbinata']
Abronia umbellata	herbaceous	['Abronia umbellata']
Abronia villosa	herbaceous	['Abronia villosa']
Abrophyllum ornans	woody	['Abrophyllum ornans']
Abrus canescens	woody	['Abrus canescens']
Abrus laevigatus	not assigned	['Abrus laevigatus']
Abrus precatorius	woody	['Abrus precatorius']
Abrus pulchellus	woody	['Abrus pulchellus']
Abrus schimperi	woody	['Abrus schimperi']
Abuta grandifolia	woody	['Abuta grandifolia']
Abuta grisebachii	not assigned	['Abuta grisebachii']
Abuta imene	not assigned	['Abuta imene']
Abuta pahni	not assigned	['Abuta pahni']
Abuta panamensis	woody	['Abuta panamensis']
Abuta racemosa	not assigned	['Abuta racemosa']
Abuta rufescens	herbaceous	['Abuta rufescens']
Abuta solimoesensis	not assigned	['Abuta solimoesensis']
Abuta velutina	woody	['Abuta velutina']
Abutilon abutiloides	conflicting (herbaceous vs. woody)	['Abutilon abutiloides']
Abutilon angulatum	conflicting (herbaceous vs. woody)	['Abutilon angulatum']
Abutilon auritum	woody	['Abutilon auritum']
Abutilon austroafricanum	conflicting (herbaceous vs. woody)	['Abutilon austroafricanum', 'Abutilon austro-africanum']
Abutilon bidentatum	woody	['Abutilon bidentatum']
Abutilon bivalve	not assigned	['Bastardia bivalvis']
Abutilon cryptopetalum	conflicting (herbaceous vs. woody)	['Abutilon cryptopetalum']
Abutilon dugesii	woody	['Abutilon dugesii']
Abutilon englerianum	woody	['Abutilon englerianum']
Abutilon eremitopetalum	woody	['Abutilon eremitopetalum']
Abutilon fraseri	woody	['Abutilon fraseri']
Abutilon fruticosum	conflicting (herbaceous vs. woody)	['Abutilon fruticosum']
Abutilon glabriflorum	woody	['Abutilon glabriflorum']
Abutilon grandiflorum	conflicting (herbaceous vs. woody)	['Abutilon grandiflorum']
Abutilon grantii	conflicting (herbaceous vs. woody)	['Abutilon grantii']
Abutilon greveanum	woody	['Abutilon greveanum']
Abutilon guineense	woody	['Abutilon guineense']
Abutilon hirtum	conflicting (herbaceous vs. woody)	['Abutilon hirtum']
Abutilon incanum	conflicting (herbaceous vs. woody)	['Abutilon incanum']
Abutilon indicum	woody	['Abutilon indicum']
Abutilon lauraster	conflicting (herbaceous vs. woody)	['Abutilon lauraster']
Abutilon lepidum	woody	['Abutilon lepidum']
Abutilon leucopetalum	woody	['Abutilon leucopetalum']
Abutilon longicuspe	woody	['Abutilon longicuspe']
Abutilon mauritianum	conflicting (herbaceous vs. woody)	['Abutilon mauritianum', 'Pavonia patens']
Abutilon menziesii	woody	['Abutilon menziesii']
Abutilon mitchellii	woody	['Abutilon mitchelli']
Abutilon mollissimum	woody	['Abutilon mollissimum']
Abutilon otocarpum	woody	['Abutilon otocarpum']
Abutilon oxycarpum	woody	['Abutilon oxycarpum']
Abutilon pannosum	conflicting (herbaceous vs. woody)	['Abutilon muticum', 'Abutilon pannosum']
Abutilon parvulum	herbaceous	['Abutilon parvulum']
Abutilon pseudocleistogamum	woody	['Abutilon pseudocleistogamum']
Abutilon pycnodon	conflicting (herbaceous vs. woody)	['Abutilon matopense', 'Abutilon pycnodon']
Abutilon ramosum	conflicting (herbaceous vs. woody)	['Abutilon ramosum']
Abutilon reflexum	woody	['Abutilon reflexum']
Abutilon rehmannii	woody	['Abutilon rehmannii']
Abutilon sandwicense	woody	['Abutilon sandwicense']
Abutilon sonneratianum	woody	['Abutilon sonneratianum']
Abutilon species	not assigned	['Abutilon canariense', 'Abutilon molle']
Abutilon theophrasti	herbaceous	['Abutilon theophrasti', 'Abutilon theophrastii']
Abutilon trisulcatum	woody	['Abutilon trisulcatum']
Abutilon viscosum	conflicting (herbaceous vs. woody)	['Bastardia viscosa']
Acacia acanthoclada	woody	['Acacia acanthoclada']
Acacia acinacea	woody	['Acacia acinacea']
Acacia acradenia	woody	['Acacia acradenia']
Acacia acrionastes	woody	['Acacia acrionastes']
Acacia aculeatissima	woody	['Acacia aculeatissima']
Acacia acuminata	woody	['Acacia acuminata']
Acacia adoxa	woody	['Acacia adoxa']
Acacia adsurgens	woody	['Acacia adsurgens']
Acacia adunca	woody	['Acacia accola', 'Acacia adunca']
Acacia aestivalis	woody	['Acacia aestivalis']
Acacia alata	woody	['Acacia alata']
Acacia alcockii	woody	['Acacia alcockii']
Acacia alleniana	woody	['Acacia alleniana']
Acacia amblygona	woody	['Acacia amblygona']
Acacia ammobia	woody	['Acacia ammobia']
Acacia amoena	woody	['Acacia amoena']
Acacia ampliceps	woody	['Acacia ampliceps']
Acacia anceps	woody	['Acacia anceps']
Acacia ancistrocarpa	woody	['Acacia ancistrocarpa']
Acacia aneura	woody	['Acacia aneura']
Acacia anfractuosa	woody	['Acacia anfractuosa']
