Species	Woodiness
Abacopteris multilineata	(fern)
Abarema adenophora	woody
Abarema barbouriana	woody
Abarema brachystachya	woody
Abarema cochliacarpos	woody
Abarema curvicarpa	woody
Abarema jupunba	woody
Abarema laeta	woody
Abarema lusoria	not assigned
Abarema macradenia	woody
Abarema mataybifolia	woody
Abarema piresii	woody
Abarema racemiflora	woody
Abatia parviflora	woody
Abelia biflora	woody
Abelia chinensis	woody
Abelia dielsii	woody
Abelia graebneriana	woody
Abelia grandiflora	woody
Abelia integrifolia	woody
Abelia mosanensis	woody
Abelia serrata	woody
Abelia spathulata	woody
Abelia triflora	woody
Abeliophyllum distichum	woody
Abelmoschus crinitus	herbaceous
Abelmoschus esculentus	herbaceous
Abelmoschus ficulneus	woody
Abelmoschus manihot	herbaceous
Abelmoschus moschatus	herbaceous
Abies alba	woody
Abies amabilis	woody
Abies arizonica	woody
Abies balsamea	woody
Abies borisii-regis	woody
Abies bornmuelleriana	woody
Abies bracteata	woody
Abies cephalonica	woody
Abies chensiensis	woody
Abies cilicica	woody
Abies concolor	woody
Abies delavayi	woody
Abies densa	woody
Abies ernestii	woody
Abies fabri	woody
Abies fargesii	woody
Abies faxoniana	woody
Abies firma	woody
Abies forrestii	woody
Abies fraseri	woody
Abies georgei	woody
Abies grandis	woody
Abies guatemalensis	woody
Abies holophylla	woody
Abies homolepis	woody
Abies kawakamii	woody
Abies koreana	woody
Abies lasiocarpa	woody
Abies magnifica	woody
Abies mariesii	woody
Abies marocana	woody
Abies nebrodensis	woody
Abies nephrolepis	woody
Abies nordmanniana	woody
Abies numidica	woody
Abies pardei	woody
Abies pindrow	woody
Abies pinsapo	woody
Abies procera	woody
Abies recurvata	woody
Abies religiosa	woody
Abies sachalinensis	woody
Abies shastensis	woody
Abies sibirica	woody
Abies spectabilis	woody
Abies squamata	woody
Abies veitchii	woody
Abies vejarii	woody
Abiu caramuri	woody
Abroma augusta	woody
Abronia ameliae	herbaceous
Abronia fragrans	herbaceous
Abronia latifolia	herbaceous
Abronia maritima	herbaceous
Abronia pogonantha	herbaceous
Abronia turbinata	herbaceous
Abronia umbellata	herbaceous
Abronia villosa	herbaceous
Abrophyllum ornans	woody
Abrus canescens	woody
Abrus laevigatus	not assigned
Abrus precatorius	woody
Abrus pulchellus	woody
Abrus schimperi	woody
Abuta grandifolia	woody
Abuta grisebachii	not assigned
Abuta imene	not assigned
Abuta pahni	not assigned
Abuta panamensis	woody
Abuta racemosa	not assigned
Abuta rufescens	herbaceous
Abuta solimoesensis	not assigned
Abuta velutina	woody
Abutilon abutiloides	conflicting (herbaceous vs. woody)
Abutilon angulatum	conflicting (herbaceous vs. woody)
Abutilon auritum	woody
Abutilon austroafricanum	conflicting (herbaceous vs. woody)
Abutilon austro-africanum	conflicting (herbaceous vs. woody)
Abutilon bidentatum	woody
Abutilon canariense	not assigned
Abutilon chittendenii	woody
Abutilon cryptopetalum	conflicting (herbaceous vs. woody)
Abutilon dugesii	woody
Abutilon ellipticum	woody
Abutilon englerianum	woody
Abutilon eremitopetalum	woody
Abutilon fraseri	woody
Abutilon fruticosum	conflicting (herbaceous vs. woody)
Abutilon glabriflorum	woody
Abutilon grandiflorum	conflicting (herbaceous vs. woody)
Abutilon grantii	conflicting (herbaceous vs. woody)
Abutilon greveanum	woody
Abutilon guineense	woody
Abutilon hirtum	conflicting (herbaceous vs. woody)
Abutilon incanum	conflicting (herbaceous vs. woody)
Abutilon indicum	woody
Abutilon lauraster	conflicting (herbaceous vs. woody)
Abutilon lepidum	woody
Abutilon leucopetalum	woody
Abutilon longicuspe	woody
Abutilon matopense	conflicting (herbaceous vs. woody)
Abutilon mauritianum	conflicting (herbaceous vs. woody)
Abutilon menziesii	woody
Abutilon mitchelli	woody
Abutilon molle	conflicting (herbaceous vs. woody)
Abutilon mollissimum	woody
Abutilon muticum	woody
Abutilon otocarpum	woody
Abutilon oxycarpum	woody
Abutilon pannosum	conflicting (herbaceous vs. woody)
Abutilon parvulum	herbaceous
Abutilon pseudocleistogamum	woody
Abutilon pycnodon	conflicting (herbaceous vs. woody)
Abutilon ramosum	conflicting (herbaceous vs. woody)
Abutilon reflexum	woody
Abutilon rehmannii	woody
Abutilon sandwicense	woody
Abutilon silvaticum	woody
Abutilon sonneratianum	woody
Abutilon sylvaticum	woody
Abutilon theophrasti	herbaceous
Abutilon theophrastii	herbaceous
Abutilon trisulcatum	woody
Abutilon umbellatum	conflicting (herbaceous vs. woody)
Acacia abyssinica	woody
Acacia acanthoclada	woody
Acacia acanthophylla	not assigned
Acacia acatlensis	woody
Acacia accola	woody
Acacia acinacea	woody
Acacia acradenia	woody
Acacia acrionastes	woody
Acacia acuifera	woody
Acacia aculeatissima	woody
Acacia acuminata	woody
Acacia adansonii	woody
Acacia adenocalyx	woody
Acacia adhaerens	not assigned
Acacia adoxa	woody
Acacia adsurgens	woody
Acacia adunca	woody
Acacia aestivalis	woody
Acacia alata	woody
Acacia albicorticata	woody
Acacia albida	woody
Acacia alcockii	woody
Acacia alemquerensis	not assigned
Acacia alleniana	woody
Acacia allenii	woody
Acacia altiscandens	woody
Acacia amabilis	woody
Acacia amblygona	woody
Acacia ammobia	woody
Acacia amoena	woody
Acacia ampliceps	woody
Acacia amythethophylla	woody
Acacia anceps	woody
Acacia ancistrocarpa	woody
Acacia anegadensis	woody
Acacia aneura	woody
Acacia anfractuosa	woody
Acacia angustissima	woody
Acacia anthochaera	woody
Acacia aphylla	woody
Acacia aprica	woody
Acacia arabica	woody
Acacia arenaria	woody
Acacia arenosa	woody
Acacia argyrophylla	woody
Acacia armata	woody
Acacia aroma	woody
Acacia ascendens	woody
Acacia asepala	woody
Acacia aspera	woody
Acacia assimilis	woody
Acacia ataxacantha	not assigned
Acacia atkinsiana	woody
Acacia aulacocarpa	woody
Acacia aureocrinita	woody
Acacia auriculaeformis	woody
Acacia auriculata	woody
Acacia auriculiformis	woody
Acacia ausfeldii	woody
Acacia australis	woody
Acacia baeuerlenii	woody
Acacia baileyana	woody
Acacia bakeri	woody
Acacia bancroftii	woody
Acacia barringtonensis	woody
Acacia barteriana	woody
Acacia baueri	woody
Acacia beadleana	woody
Acacia beauverdiana	woody
Acacia beckleri	woody
Acacia bellula	woody
Acacia berlandieri	woody
Acacia betchei	woody
Acacia bidwillii	woody
Acacia bifaria	woody
Acacia bilimekii	woody
Acacia binervata	woody
Acacia binervia	woody
Acacia bivenosa	woody
Acacia blakei	woody
Acacia blakelyi	woody
Acacia blayana	woody
Acacia bonariensis	woody
Acacia boormanii	woody
Acacia borleae	woody
Acacia bossiaeoides	woody
Acacia botrydion	woody
Acacia brachybotrya	woody
Acacia brachystachya	woody
Acacia brassii	woody
Acacia brevispica	woody
Acacia browniana	woody
Acacia brownii	woody
Acacia brumalis	woody
Acacia brunioides	woody
Acacia bulgaensis	woody
Acacia burbidgeae	woody
Acacia burkei	woody
Acacia burkittii	woody
Acacia burrowii	woody
Acacia bussei	woody
Acacia buxifolia	woody
Acacia caerulescens	woody
Acacia caesariata	woody
Acacia caesia	woody
Acacia caesiella	woody
Acacia caffra	woody
Acacia calamifolia	woody
Acacia calcicola	woody
Acacia cambagei	woody
Acacia campylophylla	woody
Acacia cana	woody
Acacia cangaiensis	woody
Acacia capitata	not assigned
Acacia cardiophylla	woody
Acacia carens	woody
Acacia caroleae	woody
Acacia catechu	woody
Acacia catenulata	woody
Acacia caven	woody
Acacia cavenia	woody
Acacia cedroides	woody
Acacia celastrifolia	woody
Acacia celsa	woody
Acacia cerastes	woody
Acacia chalkeri	woody
Acacia chapmanii	woody
Acacia chariessa	woody
Acacia cheelii	woody
Acacia chisholmii	woody
Acacia choriophylla	woody
Acacia chrysotricha	woody
Acacia chundra	woody
Acacia cincinnata	woody
Acacia citrinoviridis	woody
Acacia clandullensis	woody
Acacia clivicola	woody
Acacia clydonophora	woody
Acacia cochliacantha	woody
Acacia cognata	woody
Acacia colei	woody
Acacia colletioides	woody
Acacia collinsii	woody
Acacia compacta	woody
Acacia complanata	woody
Acacia concurrens	woody
Acacia conferta	woody
Acacia confusa	woody
Acacia congesta	woody
Acacia constablei	woody
Acacia constricta	woody
Acacia continua	woody
Acacia coolgardiensis	woody
Acacia coriacea	woody
Acacia cornigera	woody
Acacia costiniana	woody
Acacia coulteri	woody
Acacia courtii	woody
Acacia cowleana	woody
Acacia craspedocarpa	woody
Acacia crassa	woody
Acacia crassicarpa	woody
Acacia crassiuscula	woody
Acacia cremiflora	woody
Acacia crenulata	woody
Acacia cretacea	woody
Acacia cultriformis	woody
Acacia cuneifolia	woody
Acacia cunninghamii	woody
Acacia cupularis	woody
Acacia curranii	woody
Acacia cuthbertsonii	woody
Acacia cyanophylla	woody
Acacia cyclops	woody
Acacia cyperophylla	woody
Acacia dallachiana	woody
Acacia davyi	woody
Acacia dawsonii	woody
Acacia dealbata	woody
Acacia deanei	woody
Acacia decora	woody
Acacia decurrens	woody
Acacia deficiens	woody
Acacia depauperata	woody
Acacia desmondii	woody
Acacia detinens	woody
Acacia dictyoneura	woody
Acacia dictyophleba	woody
Acacia difficilis	woody
Acacia difformis	woody
Acacia diffusa	woody
Acacia dimidiata	woody
Acacia discolor	woody
Acacia disparrima	woody
Acacia disticha	woody
Acacia dodonaeifolia	woody
Acacia dolichostachya	woody
